,epsilon_progress,nfe
0,0,0
1,15,100
2,73,1197
3,106,2293
4,137,3389
5,154,4485
6,177,5580
7,188,6673
8,193,7769
9,202,8865
10,209,9964
11,222,10993
12,228,12023
13,230,13055
14,231,14084
15,233,15114
16,235,16145
17,236,17174
18,237,18206
19,238,19236
20,240,20268
21,241,21297
22,241,22329
23,241,23357
24,241,24388
25,241,25418
26,242,26447
27,247,27495
28,248,28526
29,248,29556
30,248,30589
31,248,31615
32,248,32641
33,248,33667
34,248,34700
35,248,35734
36,248,36766
37,248,37797
38,248,38830
39,248,39865
40,248,40899
41,248,41936
42,248,42966
43,248,43998
44,248,45032
45,248,46057
46,248,47093
47,248,48128
48,248,49155
49,248,50189
50,248,51215
51,248,52248
52,248,53282
53,248,54317
54,248,55350
55,248,56384
56,248,57414
57,248,58446
58,248,59477
59,248,60511
60,248,61545
61,248,62568
62,248,63601
63,248,64635
64,248,65667
65,248,66702
66,248,67737
67,248,68765
68,248,69796
69,248,70831
70,248,71864
71,248,72900
72,248,73929
73,248,74963
74,248,75992
75,248,77029
76,248,78061
77,250,79064
78,250,80071
79,250,81076
80,250,82085
81,250,83094
82,250,84094
83,250,85099
84,250,86106
85,250,87111
86,250,88114
87,253,89121
88,253,90122
89,253,91124
90,253,92131
91,253,93136
92,253,94144
93,253,95150
94,253,96151
95,253,97157
96,257,98161
97,257,99167
98,257,100000
