,epsilon_progress,nfe
0,0,0
1,24,100
2,89,1197
3,127,2292
4,152,3388
5,176,4487
6,198,5585
7,222,6679
8,239,7777
9,257,8875
10,263,9973
11,277,11168
12,277,12364
13,277,13561
14,277,14760
15,277,15959
16,277,17158
17,277,18158
18,277,19354
19,277,20552
20,277,21747
21,277,22747
22,277,23946
23,277,25140
24,277,26339
25,277,27536
26,277,28732
27,277,29928
28,277,31127
29,277,32322
30,277,33518
31,277,34518
32,277,35713
33,277,36907
34,277,38100
35,277,39299
36,277,40498
37,277,41694
38,277,42893
39,277,44090
40,277,45288
41,277,46288
42,277,47288
43,277,48486
44,277,49684
45,277,50880
46,277,52078
47,277,53078
48,277,54273
49,277,55471
50,277,56669
51,277,57868
52,277,59065
53,277,60065
54,277,61261
55,277,62458
56,277,63458
57,277,64656
58,277,65656
59,277,66853
60,277,68051
61,277,69248
62,277,70447
63,277,71646
64,277,72844
65,277,74043
66,277,75242
67,277,76436
68,277,77635
69,277,78833
70,277,80031
71,277,81229
72,277,82419
73,277,83616
74,277,84616
75,277,85813
76,277,86813
77,277,88012
78,277,89210
79,277,90409
80,277,91608
81,277,92805
82,277,93805
83,277,95001
84,277,96199
85,277,97199
86,277,98394
87,277,99591
88,277,100190
