A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
1717200058.5803528,0,0.49295560193147925,0.0,38245121.951764055,0.0,0.0,48716867.66610375,0.0,0.0,0,0.0,0.0,25037214.086173728,0.0,115300000.0,12539.312772675072
0.0,0,0.0,23172381.11594136,38245121.951764055,0.008098219845114437,29180549.780171487,48716867.66610375,0.022840707374304554,2461723.1799533106,0,0.00045750695404922026,46569542.43219298,25037214.086173728,0.014364835175566231,115300000.0,2773.7105731334495
0.0,0,0.0,0.0,38245121.951764055,0.0,617490427.7836918,48716867.66610375,0.35800902633881393,30241638.604210418,0,0.00552186158056521,94560753.44734842,25037214.086173728,0.032608582199472505,115300000.0,19332.199807166056
0.0,0,0.0,939859521.6616478,38245121.951764055,0.25622089901861533,0.0,48716867.66610375,0.0,30975895.734840624,0,0.004540190994129112,0.0,25037214.086173728,0.0,115300000.0,24543.11586967881
213318617.20600694,42291505,0.1701974450053586,311100.0359529578,47842699.56310011,0.0004249080801962521,0.0,24198032.45136138,0.0,0.0,20785047,0.0,0.0,30351526.042379983,0.0,115300000.0,0.0
0.0,42291505,0.0,12374824.362949574,47842699.56310011,0.014293408294881349,73370500.27312832,24198032.45136138,0.11937326583557725,0.0,20785047,0.0,2769778.291223208,30351526.042379983,0.003156717817379469,115300000.0,0.0
0.0,42291505,0.0,0.0,47842699.56310011,0.0,1076111058.435266,24198032.45136138,1.8928062355106265,0.0,20785047,0.0,15333437.45337345,30351526.042379983,0.013517036664717508,115300000.0,0.0
0.0,42291505,0.0,604302473.6336466,47842699.56310011,0.43927980537602174,0.0,24198032.45136138,0.0,12372401.512660949,20785047,0.004203792226861175,0.0,30351526.042379983,0.0,115300000.0,0.0
1717200058.5803528,0,0.16431853397715976,0.0,47842699.56310011,0.0,0.0,24198032.45136138,0.0,0.0,18545877,0.0,11363905.866135363,0.0,0.001524941731947079,84600000.0,26802.0729944601
0.0,0,0.0,59911535.50893909,47842699.56310011,0.006317642798765474,117369385.86058544,24198032.45136138,0.030350029289968324,0.0,18545877,0.0,34497204.892075844,0.0,0.0046489243604745534,84600000.0,12170.779525569124
0.0,0,0.0,2273713.4149199594,47842699.56310011,0.00029027974559920483,924045067.7484449,24198032.45136138,0.19058092263271414,0.0,18545877,0.0,204019249.57339504,0.0,0.023070091178735534,84600000.0,59568.502597946775
0.0,0,0.0,777845260.1858118,47842699.56310011,0.0755612234791978,0.0,24198032.45136138,0.0,0.0,18545877,0.0,0.0,0.0,0.0,84600000.0,41292.54315371128
486315906.2142968,154370052,0.05477284465905325,0.0,47842699.56310011,0.0,0.0,76229631.73276523,0.0,0.0,23449870,0.0,0.0,101052794.97906452,0.0,796400000.0,8620.77753121411
0.0,154370052,0.0,0.0,47842699.56310011,0.0,0.0,76229631.73276523,0.0,0.0,23449870,0.0,0.0,101052794.97906452,0.0,796400000.0,0.0
0.0,154370052,0.0,0.0,47842699.56310011,0.0,12654510.1230496,76229631.73276523,0.002404201194770445,114899.64597784246,23449870,6.189113342505664e-06,0.0,101052794.97906452,0.0,796400000.0,635.5996234209056
0.0,154370052,0.0,83594761.14643149,47842699.56310011,0.008016390681343065,0.0,76229631.73276523,0.0,0.0,23449870,0.0,0.0,101052794.97906452,0.0,796400000.0,4191.056039208911
1329595709.2802083,42291505,0.1508510229101951,0.0,42818415.6714978,0.0,0.0,70680852.3457324,0.0,0.0,39716548,0.0,0.0,54355764.74753119,0.0,431100000.0,15270.267823158792
0.0,42291505,0.0,0.0,42818415.6714978,0.0,0.0,70680852.3457324,0.0,0.0,39716548,0.0,21584026.059719197,54355764.74753119,0.0035174397193103012,431100000.0,1295.3067715687268
0.0,42291505,0.0,0.0,42818415.6714978,0.0,19473277.27735119,70680852.3457324,0.0047157784539119466,0.0,39716548,0.0,140908429.2136272,54355764.74753119,0.01916477791906431,431100000.0,8302.661420037295
0.0,42291505,0.0,257617176.82226047,42818415.6714978,0.02993258326135405,0.0,70680852.3457324,0.0,0.0,39716548,0.0,0.0,54355764.74753119,0.0,431100000.0,10574.157121771554
0.0,32694901,0.0,0.0,42818415.6714978,0.0,0.0,43878096.290305056,0.0,0.0,30289328,0.0,31949494.604850702,94003040.7224447,0.005579622506700809,436400000.0,2085.204277411687
0.0,32694901,0.0,1454566.0502555144,42818415.6714978,0.00021320425066462067,0.0,43878096.290305056,0.0,0.0,30289328,0.0,6647101.594009047,94003040.7224447,0.00112497149772802,436400000.0,472.2322977712977
0.0,32694901,0.0,0.0,42818415.6714978,0.0,47134936.44557817,43878096.290305056,0.012705680187406369,0.0,30289328,0.0,68789548.93141165,94003040.7224447,0.009795789755161603,436400000.0,5613.097951284983
0.0,32694901,0.0,362615251.87855005,42818415.6714978,0.042277749354890155,0.0,43878096.290305056,0.0,0.0,30289328,0.0,0.0,94003040.7224447,0.0,436400000.0,14858.210456631621
1717200058.5803528,66507014,0.16431853397715976,0.0,47842699.56310011,0.0,0.0,45324187.55237766,0.0,0.0,14092235,0.0,0.0,87128285.30609007,0.0,675200000.0,25862.332593642328
0.0,66507014,0.0,0.0,47842699.56310011,0.0,0.0,45324187.55237766,0.0,0.0,14092235,0.0,0.0,87128285.30609007,0.0,675200000.0,0.0
0.0,66507014,0.0,0.0,47842699.56310011,0.0,13013617.538936142,45324187.55237766,0.002510655013513988,2697144.626099586,14092235,0.00014687397189586704,21435019.519370537,87128285.30609007,0.0023566193982569083,675200000.0,2266.4690993629674
0.0,66507014,0.0,108988903.38883221,47842699.56310011,0.010414006724615852,0.0,45324187.55237766,0.0,1263032.4049267345,14092235,5.008905184207399e-05,0.0,87128285.30609007,0.0,675200000.0,5548.110126261106
0.0,145176909,0.0,0.0,47842699.56310011,0.0,0.0,26403379.542306438,0.0,0.0,39386978,0.0,79756246.27143095,40273672.383724004,0.010124510579460797,297900000.0,6016.639870049772
0.0,145176909,0.0,0.0,47842699.56310011,0.0,13367126.703254275,26403379.542306438,0.0026040843238507466,0.0,39386978,0.0,51210670.01635502,40273672.383724004,0.005223834937190948,297900000.0,3569.755666016273
0.0,145176909,0.0,0.0,47842699.56310011,0.0,107141629.26075737,26403379.542306438,0.0225355701943133,0.0,39386978,0.0,159933089.6400201,40273672.383724004,0.018068394516448302,297900000.0,17556.274301571837
0.0,145176909,0.0,130263034.57956067,47842699.56310011,0.01244984528277909,0.0,26403379.542306438,0.0,0.0,39386978,0.0,0.0,40273672.383724004,0.0,297900000.0,6544.266906347102
486188261.97892493,42291505,0.054754177217031866,0.0,47842699.56310011,0.0,0.0,58517988.01954745,0.0,0.0,29677601,0.0,0.0,72580607.18485624,0.0,473000000.0,8620.455657845056
0.0,42291505,0.0,0.0,47842699.56310011,0.0,9085509.51576542,58517988.01954745,0.002343381111936723,0.0,29677601,0.0,0.0,72580607.18485624,0.0,473000000.0,503.77550844468266
0.0,42291505,0.0,0.0,47842699.56310011,0.0,149094620.54013416,58517988.01954745,0.02807651660993813,0.0,29677601,0.0,577659.5467073325,72580607.18485624,5.830525149743827e-05,473000000.0,7516.543670611314
0.0,42291505,0.0,157964190.4631452,47842699.56310011,0.015137796871938471,0.0,58517988.01954745,0.0,339876.61054888467,29677601,1.3846203728906072e-05,0.0,72580607.18485624,0.0,473000000.0,7944.915034653887
486188261.97892493,89068254,0.45628481014193223,0.0,47842699.56310011,0.0,0.0,41292219.28177295,0.0,0.0,27334183,0.0,0.0,144433354.3443391,0.0,382500000.0,0.0
0.0,89068254,0.0,0.0,47842699.56310011,0.0,0.0,41292219.28177295,0.0,0.0,27334183,0.0,0.0,144433354.3443391,0.0,382500000.0,0.0
0.0,89068254,0.0,0.0,47842699.56310011,0.0,48514119.575623505,41292219.28177295,0.08506792850313816,2982798.7684138506,27334183,0.0014402844190852162,0.0,144433354.3443391,0.0,382500000.0,0.0
0.0,89068254,0.0,130263034.57956067,47842699.56310011,0.10374871068982575,0.0,41292219.28177295,0.0,2268342.2557461234,27334183,0.0007764707430167243,0.0,144433354.3443391,0.0,382500000.0,0.0
8198120.5083382875,32694901,0.0011540831460355061,0.0,131321771.566306,0.0,927664.0198404462,26403379.542306438,0.000239287925318079,0.0,38726525,0.0,124888867.61295326,27578229.96765524,0.022869323134296085,345900000.0,8738.77950548186
0.0,32694901,0.0,0.0,131321771.566306,0.0,13637337.951186158,26403379.542306438,0.0033542886851805056,0.0,38726525,0.0,47956876.28176658,27578229.96765524,0.007775247778714701,345900000.0,3287.4974437384913
0.0,32694901,0.0,0.0,131321771.566306,0.0,205780586.6485742,26403379.542306438,0.05394463071806993,0.0,38726525,0.0,242672351.70236897,27578229.96765524,0.031418856577506385,345900000.0,21775.00174403122
0.0,32694901,0.0,4496286.661882827,131321771.566306,0.00047980188704374783,0.0,26403379.542306438,0.0,0.0,38726525,0.0,43635816.42884837,27578229.96765524,0.004781337335764612,345900000.0,1875.8342121212117
