,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,3,4,0,3,0,0,0,5,0,3,0,2,4,3,6,205946375.5803788,95213987.28559849,0.09784611176853394,94086078.6764083,47842699.56310011,0.07727778515307862,2294051495.58662,28798397.130608946,3.2464413467354336,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
1,4,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,3,0,3,0,0,6,0,3,4,6,0,1,1,4,113633344.03781287,76431543.68310125,0.00644457197670772,99960256.74010292,47842699.56310011,0.009738583157334498,2294051495.58662,61001668.01785916,0.38957296160825206,0.0,24092218.720461875,0.0,0.0,86627109.72346976,0.0,624900000.0,130791.8959450693
2,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,3,0,0,3,0,0,1,2,6,5,1,2,5,0,7,523520923.4778337,42291505.65437629,0.10567380071001664,46943722.7820407,47842699.56310011,0.013173550516977349,2294051495.58662,77953409.18071027,1.168718884824756,0.0,27515640.930190742,0.0,0.0,88954800.96600011,0.0,929600000.0,55147.15160212101
3,3,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,4,0,0,4,3,0,0,2,3,4,2,0,1,1,3,49730811.77693913,47847947.961454235,0.003445032515203831,20007642.849350274,108083458.32956028,0.001647712135226695,2298148954.025757,48047840.36663434,0.3907604779221179,0.0,18081997.288140487,0.0,0.0,83391212.35240729,0.0,419100000.0,107294.64834712005
4,3,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,3,0,3,0,0,7,0,0,6,7,3,1,3,3,1374969925.7863886,42291505.65437629,0.08110716293767961,97632694.96820717,47842699.56310011,0.0093751588550771,2294051495.58662,34221561.73832255,0.38957296160825206,0.0,43117304.03088222,0.0,0.0,91143478.948996,0.0,419100000.0,123696.85147843577
5,3,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,3,0,0,3,0,0,0,3,4,3,0,1,6,1,0,523520923.4778337,42291505.65437629,0.03522460023667221,76138630.03044304,47842699.56310011,0.007066717887066837,2294051495.58662,53401633.19836887,0.38957296160825206,0.0,15444563.06553661,0.0,0.0,70903162.7249229,0.0,552300000.0,115205.97005525482
6,3,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,4,0,0,3,0,0,0,3,1,0,0,2,0,0,0,49730811.77693913,47847947.961454235,0.003445032515203831,125926841.25043607,47842699.56310011,0.011871049462218595,2294051495.58662,46650169.32145682,0.38957296160825206,0.0,7332080.219521779,0.0,0.0,0.0,0.0,419100000.0,112648.65328527149
7,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,4,0,0,5,0,0,0,1,0,1,3,5,0,2,0,49730811.77693913,47847947.961454235,0.02870860429336526,32896048.558916435,59410102.93073928,0.02695647745950117,2298316523.274825,20299287.62732069,3.256028295007927,0.0,27724085.642938957,0.0,0.0,27578229.96765524,0.0,419100000.0,0.0
8,2,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,3,3,3,3,0,0,1,5,4,5,7,4,0,0,3,205946375.5803788,140805929.96478274,0.014676916765280091,94086078.6764083,47842699.56310011,0.011591667772961795,2294051495.58662,82382551.0,0.48696620201031515,0.0,42449291.03101924,0.0,0.0,30351526.0,0.0,673500000.0,90687.37707985366
9,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,4,0,0,5,0,0,2,0,1,6,1,2,0,0,1,49730811.77693913,47847947.961454235,0.0043062906440047895,33248015.733861245,59410102.93073928,0.004130605985126742,2303052457.8519883,43878096.290305056,0.49000106248306363,0.0,29595330.837397985,0.0,0.0,25037214.086173728,0.0,176700000.0,87031.55903370092
10,3,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,2,2,3,0,0,1,0,0,1,3,3,3,2,0,268624665.80898935,112429465.54032746,0.015318916838354547,99908304.64050391,47842699.56310011,0.009732606460131847,2294051495.58662,20299287.62732069,0.38957296160825206,0.0,24732500.84179449,0.0,0.0,60854576.45659251,0.0,758100000.0,113502.84561249283
11,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,4,0,0,4,0,0,2,0,0,7,1,0,0,3,2,49730811.77693913,47847947.961454235,0.0043062906440047895,83130949.994261,53358573.6002109,0.010055720535146064,2295911003.5519986,22167818.198803753,0.48759317355585774,0.0,22258486.725668453,0.0,0.0,60854576.45659251,0.0,176700000.0,88943.14769607931
12,2,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,3,0,0,0,3,2,0,6,0,0,0,0,3040794578.3780823,0.0,0.2545512510958207,46920143.41657629,47842699.56310011,0.005485822600873894,2294051495.58662,48716867.66610375,0.48696620201031515,0.0,12586457.998778107,0.0,0.0,0.0,0.0,796400000.0,112906.10156207597
13,3,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,3,3,0,3,0,0,0,0,4,0,3,3,0,5,0,1387526926.2361271,89068254.21950817,0.08223894404017688,94768881.44410922,47842699.56310011,0.00936720998873096,2294051495.58662,26403379.542306438,0.38957296160825206,0.0,17803345.000196747,0.0,0.0,36676675.840294495,0.0,334500000.0,122634.60430295687
14,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,4,0,3,0,0,5,0,0,4,6,4,0,0,1,1193916861.1680353,47847947.961454235,0.20313447283858854,99908304.64050466,47842699.56310011,0.02919781938039579,2294051495.58662,28798397.130608946,1.168718884824756,0.0,37659083.94390537,0.0,0.0,25037214.086173728,0.0,758100000.0,59031.026564105574
15,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,4,0,1,2,0,1,6,6,3,0,1,0,294686408.6561661,42291505.65437629,0.02480030496023896,36595768.185282245,97105266.60422453,0.0042289438386016506,2295031190.249416,43878096.290305056,0.4873226447626701,0.0,40635631.443198405,0.0,0.0,25037214.086173728,0.0,176700000.0,89144.4813352777
16,3,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,4,3,0,5,0,0,1,0,3,1,1,1,0,0,0,19563459.60748268,96223098.04916811,0.0011483441717346104,33099734.091866143,59410102.93073928,0.0032791110566961234,2298316523.274825,45324187.55237766,0.3907233954009513,0.0,19617742.85964441,0.0,0.0,0.0,0.0,419100000.0,107754.63503779129
