A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,33981209.839759775,119047428.63319229,0.03661640870748758,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,15808636.810761191,28798397.130608946,0.019720371347553462,0.0,16563094.679399516,0.0,21341905.144290652,119047428.63319229,0.014055010726721832,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,4338782.036017146,28798397.130608946,0.007303271625336156,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,63529123.79540977,47842699.56310011,0.05345777571924032,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,8381712.998831544,28798397.130608946,0.01051599242053136,351763.21454180195,16563094.679399516,0.00016090006268062952,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,1239684.285508258,28798397.130608946,0.00211361273955608,1786477.6212688824,16563094.679399516,0.0009748330367954855,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,69441504.474313,47842699.56310011,0.08013997618563644,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,16030385.193361914,28798397.130608946,0.020142726333805087,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,2495671.4419870917,16563094.679399516,0.0015827522668504937,6807881.647416298,119047428.63319229,0.008962862884926159,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
16108556.887221646,95213987.28559849,0.010073284246302749,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,9915348.3759861,47842699.56310011,0.010469883385696389,7958649.654235164,28798397.130608946,0.01971132236811221,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
904328276.0271999,95213987.28559849,0.554533205593031,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,5177725.682171497,16563094.679399516,0.0032556885219843113,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,3410180.1889857994,28798397.130608946,0.007159503049139557,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,589037829.8285406,47842699.56310011,0.4691655695053786,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,7393506.809346853,28798397.130608946,0.015169923895013223,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,30001960.851716626,16563094.679399516,0.009898211500668809,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,15732052.02724342,28798397.130608946,0.0195745034732972,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,16207791.959170425,28798397.130608946,0.02048062567383732,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
694301616.3107845,95213987.28559849,0.32836161904342964,0.0,47842699.56310011,0.0,14981577.430462291,28798397.130608946,0.018145105503002124,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,5354028.538783256,47842699.56310011,0.004478486591086637,12196127.999896161,28798397.130608946,0.019738819873301235,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
1163819.8813214574,95213987.28559849,0.001167297091665884,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
725430026.1257476,95213987.28559849,0.5572219090438261,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,8574366.902216246,47842699.56310011,0.010513653286620165,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,971706.3921668297,16563094.679399516,0.0004151070846479701,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,19971925.169899292,28798397.130608946,0.031855581498961755,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
5336004.366746857,95213987.28559849,0.002662234042369588,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,1530688.7893756097,28798397.130608946,0.0019666185756004612,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,16055087.63943772,47842699.56310011,0.01933245816141221,0.0,28798397.130608946,0.0,1777122.3482287747,16563094.679399516,0.0010764855433792115,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,295168.4323411136,16563094.679399516,0.00017904306002419144,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,7345199.57902671,28798397.130608946,0.015020130225474165,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,935422.0061360816,119047428.63319229,0.0010301985478931679,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,7763630.433248536,28798397.130608946,0.018973725474673245,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,1555391.094986468,28798397.130608946,0.0020136680369056345,23742812.363330748,16563094.679399516,0.00990518983772229,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,905112.7691190129,119047428.63319229,0.0009937886232321601,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,20623980.780495085,28798397.130608946,0.02561995625826688,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,2087662.0783274071,47842699.56310011,0.0018860403317354298,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,54367963.786990985,16563094.679399516,0.023836493315780288,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
0.0,95213987.28559849,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,16563094.679399516,0.0,0.0,119047428.63319229,0.0,929600000.0,0.0
