,epsilon_progress,nfe
0,0,0
1,55,100
2,282,1192
3,408,2289
4,483,3385
5,571,4482
6,645,5576
7,694,6670
8,767,7769
9,838,8867
10,892,9965
11,1138,11604
12,1223,13242
13,1305,14882
14,1366,16522
15,1422,18160
16,1472,19800
17,1506,21440
18,1536,23080
19,1582,24720
20,1617,26359
21,1641,27998
22,1670,29637
23,1697,31276
24,1723,32915
25,1735,34553
26,1747,36193
27,1759,37832
28,1772,39472
29,1788,41112
30,1798,42752
31,1806,44392
32,1811,46029
33,1826,47668
34,1835,49308
35,1848,50948
36,1860,52588
37,1866,54225
38,1873,55863
39,1877,57502
40,1882,59141
41,1887,60781
42,1895,62420
43,1904,64060
44,1912,65699
45,1927,67339
46,1938,68977
47,1951,70617
48,1955,72257
49,1962,73896
50,1971,75536
51,1978,77176
52,1990,78815
53,2001,80455
54,2006,82094
55,2009,83733
56,2014,85373
57,2019,87011
58,2023,88651
59,2025,90287
60,2031,91927
61,2035,93566
62,2041,95206
63,2042,96845
64,2045,98485
65,2050,100122
66,2053,101761
67,2055,103401
68,2060,105041
69,2066,106681
70,2073,108319
71,2077,109959
72,2080,111598
73,2084,113237
74,2089,114873
75,2089,116513
76,2095,118151
77,2096,119789
78,2100,121422
79,2105,123061
80,2108,124701
81,2114,126340
82,2115,127979
83,2115,129618
84,2116,131256
85,2117,132896
86,2119,134536
87,2119,136174
88,2123,137814
89,2124,139453
90,2125,141092
91,2127,142732
92,2127,144371
93,2128,146010
94,2128,147649
95,2128,149288
96,2133,150927
97,2133,152567
98,2133,154207
99,2133,155847
100,2133,157486
101,2134,159126
102,2134,160764
103,2136,162404
104,2138,164044
105,2139,165684
106,2139,167320
107,2143,168959
108,2144,170599
109,2147,172239
110,2147,173879
111,2227,175244
112,2245,176610
113,2249,177975
114,2251,179340
115,2251,180708
116,2251,182072
117,2251,183439
118,2251,184804
119,2251,186172
120,2251,187539
121,2251,188906
122,2251,190274
123,2251,191641
124,2251,193006
125,2252,194373
126,2252,195737
127,2252,197103
128,2252,198467
129,2252,199835
130,2252,201203
131,2252,202571
132,2252,203939
133,2252,205305
134,2252,206671
135,2252,208038
136,2252,209403
137,2252,210771
138,2253,212139
139,2253,213506
140,2253,214873
141,2253,216240
142,2254,217606
143,2254,218974
144,2291,220162
145,2295,221382
146,2295,222599
147,2295,223818
148,2295,225037
149,2295,226257
150,2295,227477
151,2295,228697
152,2295,229916
153,2295,231134
154,2295,232353
155,2295,233571
156,2295,234788
157,2295,236008
158,2295,237226
159,2295,238445
160,2295,239663
161,2295,240882
162,2295,242100
163,2295,243317
164,2309,244329
165,2310,245384
166,2310,246438
167,2310,247492
168,2310,248547
169,2310,249601
170,2310,250129
