,epsilon_progress,nfe
0,0,0
1,53,100
2,194,1100
3,282,2196
4,342,3286
5,376,4383
6,397,5477
7,422,6575
8,434,7665
9,451,8759
10,461,9855
11,554,11056
12,586,12159
13,620,13263
14,642,14367
15,663,15470
16,691,16573
17,706,17677
18,719,18781
19,736,19881
20,744,20985
21,751,22087
22,756,23189
23,757,24291
24,761,25390
25,764,26494
26,767,27598
27,777,28701
28,783,29805
29,787,30906
30,793,32006
31,800,33110
32,804,34213
33,811,35317
34,813,36420
35,814,37523
36,817,38627
37,822,39727
38,825,40831
39,825,41930
40,828,43034
41,831,44136
42,835,45240
43,837,46344
44,896,47575
45,926,48725
46,939,49876
47,942,51025
48,943,52174
49,943,53326
50,943,54478
51,943,55630
52,943,56780
53,943,57932
54,943,59081
55,943,60229
56,943,61379
57,943,62530
58,943,63682
59,944,64834
60,944,65986
61,944,67134
62,944,68284
63,944,69434
64,944,70584
65,944,71735
66,944,72886
67,944,74038
68,944,75189
69,988,76234
70,989,77296
71,989,78357
72,989,79416
73,989,80477
74,989,81540
75,989,82601
76,989,83662
77,989,84723
78,989,85787
79,989,86849
80,989,87912
81,989,88975
82,989,90032
83,1004,91039
84,1004,92072
85,1004,93106
86,1004,94140
87,1004,95176
88,1004,96212
89,1004,97248
90,1004,98285
91,1013,99307
92,1013,100017
