,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,6,1,2,7,0,0,2,2,0,1,1,4,6,0,0,0.0,147848759.27215046,0.0,7422826.483962983,73315450.27094865,0.0009511215443117435,1813622975.698206,45876507.22344398,0.38637829012123914,0.0,23226689.948099688,0.0,0.0,40273672.383724004,0.0,176700000.0,67391.43030130294
1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,7,0,0,0,6,0,4,5,0,0,0,1,1678188331.028915,37255203.23710208,0.8970142230336007,3592489.180544054,73315450.27094865,0.003048077345805626,1834340553.995833,31398797.71871161,2.6241055959331008,0.0,22356212.824753046,0.0,0.0,25037214.086173728,0.0,454300000.0,0.0
2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,4,7,6,3,0,0,3,1,1,7,4,3,0,0,1,1109148679.6000834,213656166.2927918,0.5486284764959284,93238828.02761143,47842699.56310011,0.07702723253705655,1802566310.9643347,69869514.91937588,2.5509130084503884,0.0,38761038.9592929,0.0,0.0,25037214.086173728,0.0,455700000.0,0.0
3,3,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,4,0,0,6,0,0,1,0,0,0,5,0,2,2,3,36270944.91307522,47847947.961454235,0.0025123438381532085,11869762.239897002,66045103.44010488,0.001178571911144402,1808393048.9136534,20299287.0,0.3076812451221328,0.0,11068771.68625446,0.0,0.0,91791006.21883239,0.0,419100000.0,84230.94157526053
4,3,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,3,6,1,0,1,0,38770401.76970821,32694901.094161935,0.002273360791413228,260148971.4626541,47842699.56310011,0.024529882386074238,1803063184.9674432,20299287.0,0.3062435860862566,0.0,30927417.453187738,0.0,0.0,25037214.086173728,0.0,448400000.0,96482.99929326033
5,2,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,3,0,0,3,0,0,3,0,1,3,6,3,2,0,1,7295856.195489898,42291505.65437629,0.0006104019798873012,131428541.0309126,47842699.56310011,0.015479773239527702,1802778747.9357321,46650169.32145682,0.38270857878342124,0.0,33813053.540174134,0.0,0.0,54355764.74753119,0.0,636900000.0,72308.69195400088
6,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,3,5,0,0,1,0,4,0,2,7,0,0,0,1757391036.8796868,42291505.65437629,0.14190532601065575,10311914.35328242,59410102.0,0.0012589567591263292,1805120958.9215784,47604893.24040605,0.3834983181954912,0.0,22585050.269750636,0.0,0.0,0.0,0.0,432800000.0,81780.99352443135
7,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,3,0,0,3,5,3,6,6,5,2,1,0,433287967.3644549,66507014.9338145,0.08372992247334929,83638956.6870632,47842699.0,0.023930802297627687,1802566310.9643347,87711202.18356964,0.9183286830421398,0.0,44549801.360820435,0.0,0.0,54355764.0,0.0,758100000.0,44557.984552390924
8,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,4,0,5,0,0,7,0,0,3,3,6,0,4,0,120623283.23355603,95213987.28559849,0.006869224285437236,44367092.00155143,59410102.93073928,0.004583336443600134,1815186366.3497598,34221561.73832255,0.3096117542219026,0.0,33201096.218706846,0.0,0.0,33377116.55719709,0.0,146000000.0,86685.11588318401
9,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,5,0,0,5,7,1,2,4,4,0,0,4,38477958.19212121,47847947.961454235,0.0030804817431111468,41686733.06998909,59410102.93073928,0.0051512032379409925,1810193182.6685586,99660374.75735056,0.3852085087059147,0.0,29561882.696503144,0.0,0.0,33377116.55719709,0.0,345900000.0,69012.36581963908
10,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,2,4,3,3,0,0,2,1,0,7,0,7,0,6,3,1121442644.8590589,140166707.11971238,0.55728029333467,99117777.36211428,47842699.56310011,0.0814528437468991,1802695177.9725528,43878096.290305056,2.5512313529653348,0.0,32304948.475029543,0.0,0.0,77404471.7832109,0.0,334500000.0,0.0
11,3,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,3,0,0,2,5,3,0,5,0,2,6,1,2391960018.010959,32694901.094161935,0.1602416062992769,49579573.76760746,47842699.56310011,0.004607891836316831,1802566310.9643347,83582399.15103106,0.3061095610140466,0.0,11068771.68625446,0.0,0.0,103409826.06038089,0.0,929600000.0,110863.56127649333
12,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,7,0,3,0,0,0,1,2,4,4,0,0,7,0,939795033.0219252,68139002.95605196,0.159982554784631,98211914.44729114,47842699.56310011,0.028910563891208177,1802566310.9643347,43224599.14167526,0.9183286830421398,0.0,20785047.17797311,0.0,0.0,44193513.54513965,0.0,540300000.0,46906.656728670394
13,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,3,0,1,3,0,0,3,1,0,7,5,4,0,0,6,2819484146.696375,78453877.84187987,1.6458854294877852,49403145.20163512,47842699.56310011,0.03819570799822907,1802566310.9643347,46650169.32145682,2.5509130084503884,0.0,42775327.947975025,0.0,0.0,40273672.383724004,0.0,334500000.0,0.0
14,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,6,0,0,3,0,0,4,0,0,1,0,4,0,0,7,0.0,60717312.84309486,0.0,133075922.01041737,47842699.56310011,0.03784349983111668,1802566310.9643347,26403379.542306438,0.9183286830421398,0.0,16347288.792964684,0.0,0.0,44193513.54513965,0.0,382500000.0,43546.95745593886
15,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,3,3,0,0,6,0,0,1,3,4,0,0,4,1757391036.8796868,42291505.65437629,0.3405727824255737,90563074.45612149,47842699.56310011,0.025742923762236667,1802566310.9643347,31398797.71871161,0.9183286830421398,0.0,26152919.996159017,0.0,0.0,33377116.55719709,0.0,297900000.0,51228.2290457295
16,2,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,3,0,5,3,0,0,0,0,6,7,0,3,3,5,1,318299987.72600245,101988088.03595176,0.025602960265934754,84295572.04084603,47842699.56310011,0.010106761250321252,1802630744.4684439,31398797.71871161,0.3826608271061793,0.0,24956580.074387155,0.0,0.0,103676488.2943315,0.0,552300000.0,73009.0234293322
17,3,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,3,0,0,3,0,0,3,0,1,3,6,7,1,7,7,306627453.1581315,42291505.65437629,0.020607672856311706,126365313.29432447,47842699.56310011,0.01166711679300952,1802566310.9643347,46650169.32145682,0.3061095610140466,0.0,41672202.31552473,0.0,0.0,128563360.84755757,0.0,419100000.0,92757.03367475103
18,3,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,3,2,0,0,0,0,1,0,6,0,0,0,0.0,42291505.65437629,0.0,101696883.76047726,95202239.80249318,0.008847149470570496,1807192869.7602093,0.0,0.30748105831450334,0.0,19337348.34775413,0.0,0.0,0.0,0.0,261300000.0,87858.48183388427
19,2,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,3,0,0,4,3,0,0,0,1,7,0,6,1,0,0,0.0,42291505.65437629,0.0,29440265.287896,108083458.32956028,0.003110896517984729,1808450233.5001192,20299287.62732069,0.3847797255635385,0.0,30185557.33409556,0.0,0.0,25037214.086173728,0.0,382500000.0,68064.5402614712
