,epsilon_progress,nfe
0,0,0
1,29,100
2,130,1100
3,170,2199
4,209,3295
5,248,4391
6,266,5488
7,266,6585
8,266,7682
9,266,8682
10,266,9776
11,266,10870
12,266,11968
13,266,13064
14,266,14162
15,266,15258
16,266,16353
17,266,17451
18,266,18544
19,266,19544
20,266,20640
21,266,21738
22,266,22835
23,267,23931
24,267,25030
25,267,26129
26,267,27220
27,267,28315
28,267,29409
29,267,30506
30,267,31601
31,267,32699
32,267,33797
33,267,34893
34,267,35992
35,267,37085
36,267,38180
37,267,39279
38,267,40279
39,267,41375
40,267,42472
41,267,43568
42,267,44662
43,267,45753
44,267,46851
45,267,47949
46,267,49043
47,267,50137
48,267,51233
49,267,52328
50,267,53422
51,267,54518
52,267,55616
53,267,56616
54,267,57712
55,267,58809
56,267,59907
57,267,61004
58,267,62099
59,267,63188
60,267,64284
61,267,65383
62,267,66481
63,267,67575
64,267,68674
65,267,69772
66,267,70869
67,267,71962
68,267,73058
69,267,74058
70,267,75155
71,267,76247
72,267,77345
73,267,78443
74,267,79538
75,267,80538
76,267,81632
77,267,82725
78,267,83822
79,267,84917
80,267,86011
81,267,87107
82,267,88206
83,267,89302
84,267,90401
85,267,91495
86,267,92591
87,267,93690
88,267,94784
89,267,95784
90,267,96878
91,267,97971
92,267,99067
93,268,100007
