experiment,A.1 Expected Annual Damage,A.1 Dike Investment Costs,A.1_Expected Number of Deaths,A.2 Expected Annual Damage,A.2 Dike Investment Costs,A.2_Expected Number of Deaths,A.3 Expected Annual Damage,A.3 Dike Investment Costs,A.3_Expected Number of Deaths,A.4 Expected Annual Damage,A.4 Dike Investment Costs,A.4_Expected Number of Deaths,A.5 Expected Annual Damage,A.5 Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,21378356.343198635,0,0.01834950707247103,11429341.30301693,0,0.01338623437732645,41703184.7644092,0,0.09085499566777498,12214599.093912313,0,0.007815945707311082,14278685.009977609,0,0.015672493569435557,0.0,0.0
1,0.0,0,0.0,62996910.869041614,0,0.04844008405246107,0.0,0,0.0,50018074.97712055,0,0.018749754230307253,0.0,0,0.0,0.0,0.0
2,2115823.5304039936,0,0.001718604744987444,31483544.54699684,0,0.03390671309115094,86967717.18909383,0,0.17505112007536555,57966552.819257095,0,0.029806945228056308,0.0,0,0.0,0.0,0.0
3,0.0,0,0.0,11472177.292597845,0,0.013481380284656005,21781557.770397484,0,0.047763355587099404,57619430.05659841,0,0.032301168589747256,0.0,0,0.0,0.0,0.0
4,0.0,0,0.0,327231655.7931571,0,0.3765226245421544,2410347.427111314,0,0.005645911985563081,15362013.309648156,0,0.009285495208628872,0.0,0,0.0,0.0,0.0
5,0.0,0,0.0,70174015.37759884,0,0.06601593164757834,0.0,0,0.0,0.0,0,0.0,125334279.30229098,0,0.1122838852177396,0.0,0.0
6,87224502.13005546,0,0.062445004176531226,4167774.4079314084,0,0.004136728983116333,2115922396.9818263,0,3.5497424725423636,0.0,0,0.0,0.0,0,0.0,0.0,0.0
7,2680934164.214609,0,1.9632009185036101,60365554.577734604,0,0.06280930721929476,1848488328.413951,0,3.4156001152676736,0.0,0,0.0,0.0,0,0.0,0.0,0.0
8,2278698137.5555677,0,1.9260684741261591,103216686.0354763,0,0.11019525161300138,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
9,2669296122.7813196,0,1.961936095979215,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
10,141805070.34684896,0,0.11909369900804942,142282388.21631944,0,0.15539104646977178,0.0,0,0.0,0.0,0,0.0,690266694.9825798,0,0.7062827511348692,0.0,0.0
11,2795577805.342778,0,1.9342494550017917,9244409.36921368,0,0.008007668259185016,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
12,476605855.7355503,0,0.3469596594550074,78339404.39960405,0,0.07673124574594065,517822546.3985226,0,0.9533197675049252,139858861.61199647,0,0.05632280292612757,0.0,0,0.0,0.0,0.0
13,91769612.40260416,0,0.06345642342078922,1054887988.1545705,0,0.8645830127128649,2138812341.7221503,0,3.406288380323195,0.0,0,0.0,0.0,0,0.0,0.0,0.0
14,97047511.20663288,0,0.06537241327400559,676120146.2547833,0,0.5577863234876135,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
15,1656563039.3190935,0,1.2065308769298262,23481906.15787037,0,0.024408679962306765,1930357863.992099,0,3.515206302157711,0.0,0,0.0,14920757.939299274,0,0.014305481675447047,0.0,0.0
16,0.0,0,0.0,26805035.871435493,0,0.025689754445933948,2171472819.645252,0,3.578951837066063,0.0,0,0.0,0.0,0,0.0,0.0,0.0
17,9186304.065136964,0,0.008657593123648496,39887337.87473263,0,0.04967590478018157,75581001.5734303,0,0.17608427579242703,2712966.863282008,0,0.0018519556905348027,215968627.3614533,0,0.25162919712503584,0.0,0.0
18,0.0,0,0.0,99950053.15652995,0,0.09890347589803637,23306947.648649618,0,0.043915910452113745,86683676.86432725,0,0.04077212362478069,0.0,0,0.0,0.0,0.0
19,5920920.123339917,0,0.004300526527199519,417374714.6049082,0,0.3717149317409663,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
20,9223192.817146808,0,0.008697931195500198,131845197.01709798,0,0.1584064659031033,940128.7621980517,0,0.002200905381314221,100289530.70439173,0,0.05654663755986436,0.0,0,0.0,0.0,0.0
21,2842696513.642103,0,1.9754041615382314,0.0,0,0.0,150140360.01269555,0,0.2801539822458009,118954896.51956898,0,0.044371395706057463,0.0,0,0.0,0.0,0.0
