,epsilon_progress,nfe
0,0,0
1,29,100
2,100,1197
3,133,2291
4,155,3389
5,164,4486
6,182,5578
7,194,6676
8,217,7775
9,228,8873
10,233,9971
11,238,11067
12,242,12163
13,247,13257
14,248,14353
15,249,15450
16,252,16545
17,253,17642
18,253,18738
19,254,19738
20,269,20773
21,269,21787
22,269,22801
23,269,23816
24,269,24826
25,269,25840
26,271,26856
27,271,27865
28,271,28876
29,271,29889
30,271,30890
31,271,31891
32,271,32906
33,271,33907
34,271,34912
35,271,35927
36,271,36932
37,271,37932
38,271,38934
39,271,39947
40,271,40960
41,271,41961
42,271,42966
43,271,43971
44,271,44978
45,274,45987
46,274,46993
47,274,48000
48,274,49008
49,274,50008
50,274,51014
51,274,52018
52,274,53025
53,274,54032
54,274,55034
55,277,56041
56,277,57050
57,277,58056
58,277,59062
59,277,60068
60,277,61071
61,277,62078
62,277,63083
63,277,64085
64,278,65088
65,278,66096
66,278,67103
67,278,68111
68,278,69118
69,278,70125
70,278,71125
71,278,72131
72,278,73132
73,278,74136
74,279,75143
75,279,76144
76,279,77151
77,279,78151
78,279,79157
79,279,80162
80,279,81169
81,279,82177
82,279,83183
83,281,84184
84,281,85191
85,281,86200
86,281,87208
87,281,88210
88,281,89211
89,281,90215
90,281,91222
91,281,92228
92,281,93231
93,281,94235
94,281,95244
95,281,96252
96,281,97257
97,281,98262
98,281,99268
99,281,100005
