,epsilon_progress,nfe
0,0,0
1,22,100
2,107,1199
3,144,2298
4,163,3396
5,189,4495
6,205,5590
7,220,6689
8,230,7785
9,241,8880
10,246,9976
11,279,11053
12,281,12129
13,283,13203
14,285,14281
15,286,15359
16,289,16439
17,290,17516
18,292,18596
19,294,19674
20,296,20751
21,296,21828
22,299,22907
23,299,23986
24,299,25063
25,299,26142
26,300,27219
27,310,28225
28,312,29241
29,312,30250
30,312,31262
31,312,32276
32,312,33293
33,312,34308
34,312,35315
35,312,36327
36,312,37331
37,313,38331
38,313,39345
39,313,40357
40,313,41373
41,313,42378
42,313,43395
43,313,44411
44,313,45422
45,313,46438
46,313,47449
47,313,48455
48,313,49458
49,313,50477
50,313,51491
51,313,52500
52,313,53509
53,313,54527
54,313,55537
55,313,56551
56,314,57564
57,316,58579
58,318,59585
59,319,60591
60,319,61593
61,319,62595
62,319,63597
63,319,64597
64,319,65597
65,319,66605
66,319,67606
67,319,68614
68,320,69616
69,320,70621
70,320,71626
71,320,72630
72,320,73633
73,320,74635
74,320,75636
75,320,76636
76,320,77639
77,320,78643
78,320,79650
79,320,80652
80,320,81655
81,320,82658
82,320,83661
83,320,84668
84,320,85672
85,320,86676
86,320,87684
87,321,88693
88,321,89701
89,321,90701
90,321,91707
91,321,92711
92,321,93718
93,321,94722
94,321,95724
95,321,96725
96,321,97730
97,321,98736
98,321,99736
99,321,100002
