,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
0,3,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,6,3,0,0,3,5,0,6,2,1,5,0,0,1029845067.3981172,95486976.46933737,0.059951220090681184,95828300.93692446,47842699.56310011,0.009171135821152013,1802630744.4684439,56050655.355505094,0.3061286616849434,0.0,29826314.78444877,0.0,0.0,36676675.840294495,0.0,503700000.0,97550.7248735215
1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,2,3,0,0,1,2,1,1,2,7,0,3,5,418749417.92520607,71223146.50296113,0.22367129434868266,91595849.54622974,47842699.56310011,0.07288907088267302,1802602816.9100308,65676736.01177071,2.551003190318781,0.0,29677601.071832888,0.0,0.0,70917961.72350763,0.0,893000000.0,0.0
2,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0,0,7,0,0,0,3,2,6,6,0,1,2,5,7295856.195489898,42291505.65437629,0.0004883215839098409,15934574.160556141,73315450.27094865,0.0016378852400005385,1824957947.6974506,48716867.66610375,0.3122094736863319,0.0,27984209.217288204,0.0,0.0,94124251.45002009,0.0,363800000.0,84325.43356969129
3,2,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,4,0,0,3,0,0,2,1,0,5,2,1,0,0,3,36270944.91307522,47847947.961454235,0.003140429797691511,132847513.04468608,47842699.56310011,0.015711579115475063,1802566310.9643347,43878096.290305056,0.38263695126755837,0.0,27738992.754302613,0.0,0.0,30351526.042379983,0.0,297900000.0,72565.33331831597
4,4,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,3,0,0,4,1,0,0,2,2,1,0,7,2,0,0,7295856.195489898,42291505.65437629,0.0004883215839098409,48517033.70661527,97105266.60422453,0.0046373063986245595,1804987276.1847868,45876507.22344398,0.306811173647216,0.0,21069784.935395602,0.0,0.0,27578229.96765524,0.0,636900000.0,99937.37002987176
5,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,4,2,0,3,0,0,3,7,2,1,2,3,1,3,2,1133736610.1180344,90462322.17815001,0.06791185322080939,93152765.15383726,47842699.56310011,0.00922453564168137,1802566310.9643347,93069269.00187321,0.3061095610140466,0.0,23253361.287507407,0.0,0.0,87971243.48996843,0.0,455700000.0,97650.0579737461
6,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,2,0,7,0,0,0,1,2,5,7,7,0,0,7,14268521.674549077,90462322.17815001,0.0008374479460510695,13120415.170063678,73315450.27094865,0.0013895035836752321,1824907398.2440028,43224599.14167526,0.31219470047087317,0.0,49283477.94245806,0.0,0.0,44193513.54513965,0.0,146000000.0,84249.42304769548
7,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,7,3,0,0,7,1,2,4,1,0,0,6,0.0,47847947.961454235,0.0,6268455.848875432,133844205.0086204,0.0005459617466668462,1825067543.6055098,59903444.52010451,0.3122510160656934,0.0,25433787.6012514,0.0,0.0,40273672.383724004,0.0,230600000.0,83741.60658333988
8,2,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,4,3,0,0,0,2,1,3,3,1,7,0,0,1685402707.917712,47847947.961454235,0.13533630245390943,91799371.54914947,47842699.56310011,0.010966676331385625,1802566310.9643347,43878096.290305056,0.38263695126755837,0.0,25535950.208077375,0.0,0.0,44193513.54513965,0.0,431100000.0,84396.2606586878
9,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,3,0,0,5,1,0,0,3,0,1,0,4,2,0,0,306627453.1581315,42291505.65437629,0.06182301856893511,2756489.8054206204,104651657.86617124,0.0006797314091650354,1803560818.4734435,24198032.45136138,0.9191438297142649,0.0,16347288.792964684,0.0,0.0,27578229.96765524,0.0,419100000.0,41972.72528786787
10,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,3,0,0,3,0,0,0,3,1,0,3,1,3,3,0,456872305.94829476,42291505.65437629,0.0921706569573651,63776172.01097483,47842699.56310011,0.017808612613723254,1802566310.9643347,46650169.32145682,0.9183286830421398,0.0,15444563.06553661,0.0,0.0,63921995.57957761,0.0,552300000.0,44206.76116932114
11,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,2,3,3,0,0,3,3,7,7,3,0,0,7,3,1079538522.5336895,117999895.068093,0.5304587739399962,95611788.21355003,47842699.56310011,0.07641927792604608,1802566310.9643347,92827637.84263022,2.5509130084503884,0.0,24956580.074387155,0.0,0.0,82593104.13074732,0.0,431100000.0,0.0
12,3,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,2,1,0,3,0,0,0,3,2,7,3,0,1,3,3,1218110840.755982,72222705.9376919,0.07389623697917343,81388402.476031,47842699.56310011,0.007633985164663346,1802566310.9643347,48716867.66610375,0.3061095610140466,0.0,24956580.074387155,0.0,0.0,91143478.948996,0.0,431100000.0,98888.96879812765
13,3,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,3,0,2,3,0,0,1,3,1,5,3,6,3,4,3,318299987.72600245,83497824.69174261,0.0204823682127478,84295572.04084603,47842699.56310011,0.008085409000257001,1802602816.9100308,68543533.15029672,0.3061203828382537,0.0,37536656.165781654,0.0,0.0,105668056.91818394,0.0,808400000.0,90702.6476384954
14,3,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,4,0,0,7,7,0,0,0,3,1,3,6,0,0,0,0.0,47847947.961454235,0.0,6316510.086061297,166071355.5283289,0.0005540260642891606,1848058282.7713752,24198032.45136138,0.3185239582697722,0.0,29460091.538647782,0.0,0.0,0.0,0.0,454300000.0,83984.4039251564
15,3,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,3,3,3,3,0,0,4,1,7,10,0,3,0,0,2,1121442644.8590589,140805929.96478274,0.0668736352001604,99117777.36211428,47842699.56310011,0.009774341249627894,1802695177.9725528,90104663.39403158,0.3061477623558402,0.0,32213521.725695886,0.0,0.0,27578229.96765524,0.0,334500000.0,97690.03725896473
16,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,0,0,1,3,0,0,5,0,0,0,0,2819484146.696375,32694901.094161935,0.19750625153853424,37045277.21873926,47842699.56310011,0.0034415501830150387,1802566310.9643347,45324187.55237766,0.3061095610140466,0.0,11068771.68625446,0.0,0.0,0.0,0.0,455700000.0,112307.3292355377
17,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,3,0,0,5,0,0,0,4,2,6,4,0,0,3,0,306627453.1581315,42291505.65437629,0.17173060713593088,10248022.221586436,59410102.93073928,0.008295174364080041,1804329742.31606,51760044.33566119,2.5548768573130443,0.0,24447158.301910475,0.0,0.0,30351526.042379983,0.0,297900000.0,0.0
18,3,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,2,0,0,3,0,0,1,0,0,0,5,6,0,0,5,2388982870.812873,37255203.23710208,0.15998255478463103,49686989.3519527,47842699.56310011,0.004622310360882872,1802566310.9643347,20299287.62732069,0.3061095610140466,0.0,25957753.651390065,0.0,0.0,36676675.840294495,0.0,540300000.0,110859.27097769595
19,3,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0,4,1,0,6,7,5,2,0,6,0,0,0,0.0,42291505.65437629,0.0,62309866.73493059,97105266.60422453,0.005812611908777552,1808456226.417016,117836656.71301767,0.3077911476259293,0.0,20793414.8415654,0.0,0.0,0.0,0.0,473000000.0,86192.65604851747
20,3,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,4,3,3,3,0,0,0,3,0,4,0,4,0,3,3,1109148679.6000834,149728694.44354364,0.06583541717951141,99160808.79900141,47842699.56310011,0.009783707381010604,1802695177.9725528,24198032.45136138,0.3061477623558402,0.0,20785047.17797311,0.0,0.0,63921995.57957761,0.0,334500000.0,97478.84106650666
