,epsilon_progress,nfe
0,0,0
1,63,100
2,271,1196
3,368,2293
4,455,3384
5,494,4481
6,544,5575
7,576,6666
8,604,7758
9,635,8758
10,664,9855
11,873,11322
12,962,12687
13,1012,14055
14,1053,15422
15,1077,16789
16,1112,18157
17,1140,19523
18,1163,20891
19,1182,22259
20,1201,23624
21,1214,24992
22,1225,26360
23,1233,27726
24,1240,29094
25,1255,30462
26,1268,31830
27,1282,33198
28,1293,34565
29,1305,35932
30,1316,37296
31,1325,38663
32,1335,40031
33,1345,41399
34,1350,42767
35,1359,44130
36,1369,45498
37,1378,46864
38,1392,48232
39,1398,49600
40,1404,50967
41,1414,52335
42,1417,53701
43,1420,55067
44,1428,56435
45,1438,57802
46,1439,59170
47,1445,60538
48,1450,61906
49,1455,63273
50,1459,64641
51,1467,66009
52,1478,67377
53,1480,68745
54,1484,70113
55,1487,71478
56,1489,72846
57,1494,74212
58,1500,75579
59,1504,76947
60,1510,78315
61,1513,79682
62,1514,81048
63,1515,82415
64,1519,83781
65,1522,85148
66,1527,86516
67,1530,87883
68,1535,89249
69,1537,90616
70,1540,91984
71,1543,93352
72,1545,94720
73,1546,96086
74,1551,97454
75,1554,98822
76,1559,100190
77,1561,101558
78,1566,102925
79,1571,104291
80,1574,105658
81,1576,107024
82,1578,108390
83,1579,109755
84,1579,111123
85,1581,112491
86,1585,113859
87,1591,115226
88,1594,116594
89,1595,117962
90,1595,119330
91,1599,120698
92,1599,122066
93,1600,123432
94,1601,124800
95,1603,126168
96,1604,127536
97,1609,128901
98,1609,130268
99,1609,131636
100,1610,133003
101,1613,134368
102,1616,135736
103,1617,137102
104,1618,138469
105,1621,139837
106,1621,141204
107,1624,142572
108,1625,143940
109,1627,145308
110,1631,146675
111,1677,147746
112,1687,148817
113,1689,149888
114,1693,150959
115,1693,152030
116,1695,153102
117,1697,154174
118,1697,155246
119,1698,156316
120,1698,157388
121,1699,158459
122,1699,159530
123,1699,160601
124,1700,161673
125,1700,162744
126,1700,163813
127,1700,164884
128,1700,165956
129,1700,167028
130,1700,168099
131,1700,169170
132,1700,170242
133,1701,171314
134,1701,172386
135,1701,173458
136,1701,174530
137,1701,175601
138,1701,176673
139,1701,177745
140,1701,178813
141,1701,179883
142,1701,180953
143,1701,182025
144,1701,183096
145,1701,184168
146,1701,185239
147,1701,186311
148,1701,187383
149,1701,188455
150,1701,189525
151,1701,190597
152,1701,191669
153,1701,192739
154,1701,193810
155,1701,194882
156,1701,195953
157,1701,197023
158,1701,198094
159,1701,199166
160,1701,200238
161,1723,201264
162,1723,202294
163,1723,203325
164,1723,204355
165,1723,205380
166,1723,206411
167,1723,207440
168,1723,208472
169,1723,209503
170,1723,210531
171,1723,211561
172,1723,212591
173,1723,213620
174,1723,214652
175,1723,215680
176,1723,216712
177,1723,217744
178,1723,218775
179,1723,219802
180,1723,220833
181,1723,221861
182,1723,222892
183,1723,223922
184,1723,224948
185,1723,225979
186,1723,227006
187,1723,228037
188,1723,229065
189,1723,230094
190,1723,231125
191,1723,232156
192,1723,233184
193,1723,234213
194,1723,235244
195,1723,236274
196,1723,237303
197,1723,238332
198,1723,239362
199,1723,240394
200,1723,241425
201,1723,242456
202,1723,243486
203,1723,244517
204,1723,245548
205,1723,246579
206,1723,247609
207,1723,248640
208,1723,249670
209,1723,250013
