,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,2,3,0,0,2,0,7,5,6,1,0,6,0,48228188.146847844,37255203.23710208,0.02574046026522525,125663516.14404935,47842699.56310011,0.0986046040100475,2294051495.58662,58768098.74581756,3.2464413467354336,0.0,35104935.44747798,0.0,0.0,40273672.383724004,0.0,977600000.0,0.0
1,3,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,0,0,6,7,4,4,2,0,5,1,0,3040794578.3780823,32694901.094161935,0.20364100087665654,46920143.41657629,47842699.56310011,0.004388658080699114,2294051495.58662,114129776.63094811,0.38957296160825206,0.0,18081997.288140487,0.0,0.0,66294113.011456475,0.0,540300000.0,140269.2273524144
2,3,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,6,2,4,3,0,0,2,4,0,3,5,3,0,0,1,12829822.17537214,168897725.9290959,0.0008438692960119267,126130526.78338581,47842699.56310011,0.011915383223774579,2294051495.58662,50406479.71948833,0.38957296160825206,0.0,31756465.62997268,0.0,0.0,25037214.086173728,0.0,334500000.0,112368.93627634952
3,3,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,4,0,3,0,0,0,3,3,5,1,1,2,3,3,113633344.03781287,82177854.37813279,0.00644457197670772,99960256.74010292,47842699.56310011,0.009738583157334498,2294051495.58662,50962397.12067895,0.38957296160825206,0.0,26278482.989033304,0.0,0.0,95943402.46408135,0.0,1137100000.0,112107.33938148797
4,2,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,3,1,3,0,0,1,3,2,3,4,1,5,1,0,113633344.03781287,113829615.07026595,0.00805571497088465,99960256.74010292,47842699.56310011,0.012173228946668124,2294051495.58662,70680852.3457324,0.48696620201031515,0.0,27173665.908137284,0.0,0.0,66294113.011456475,0.0,624900000.0,90237.91522184164
5,2,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,4,0,0,4,0,1,2,3,0,4,2,1,0,4,0,49730811.77693913,47847947.961454235,0.0043062906440047895,45411373.64041312,97105266.60422453,0.005467104211041796,2296053042.8285403,48047840.36663434,0.48767395738903097,0.0,25814602.496021114,0.0,0.0,33377116.55719709,0.0,419100000.0,87436.12470283036
6,2,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,3,0,0,3,0,7,1,4,3,3,3,0,288858849.98414093,32694901.094161935,0.024167144912653954,149773207.51073948,47842699.56310011,0.017329092415271086,2294051495.58662,62048975.90137317,0.48696620201031515,0.0,26347134.242014326,0.0,0.0,63921995.57957761,0.0,382500000.0,93749.0218795391
7,2,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,3,0,0,3,0,0,0,7,0,1,3,2,0,2,0,523520923.4778337,42291505.65437629,0.044030750295840276,77246667.00212276,47842699.56310011,0.00901938419310359,2294051495.58662,34221561.73832255,0.48696620201031515,0.0,23449870.106326394,0.0,0.0,27578229.96765524,0.0,431100000.0,92765.8696497144
8,3,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,6,0,0,3,0,0,2,4,1,6,5,3,7,3,0,32613734.20327934,60717312.84309486,0.0025316078880357803,125926841.25043607,47842699.56310011,0.011871049462218595,2294051495.58662,75239787.13836722,0.38957296160825206,0.0,38360931.261942774,0.0,0.0,82593104.13074732,0.0,334500000.0,112729.95816991571
9,2,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,2,0,3,0,0,1,0,1,0,7,5,3,6,0,3476837520.7417965,37255203.23710208,0.302067020430574,46722515.14600746,47842699.56310011,0.0054494138021946095,2294051495.58662,41292219.28177295,0.48696620201031515,0.0,28265438.623856276,0.0,0.0,74896439.20493636,0.0,590600000.0,114656.54553379098
10,3,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,3,0,0,0,2,1,2,4,5,4,1,7,3040794578.3780823,32694901.0,0.20364100087665654,46920143.41657629,47842699.56310011,0.004388658080699114,2294051495.58662,43878096.290305056,0.38957296160825206,0.0,31242259.05973556,0.0,0.0,114294065.73175862,0.0,540300000.0,140269.2273524144
11,2,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,0,0,1,0,4,3,2,1,2,0,4,16482755.819449695,32694901.0,0.0013790165974502807,124657789.78185965,47842699.56310011,0.014643011968405745,2294051495.58662,47604893.24040605,0.48696620201031515,0.0,24040200.774297733,0.0,0.0,63275368.490582086,0.0,709500000.0,90394.42794754567
12,3,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,2,1,0,3,0,0,3,1,0,6,6,4,0,0,2,3476837520.7417965,72222705.0,0.24165361634445914,46722515.14600746,47842699.56310011,0.004359531041755687,2294051495.58662,46650169.32145682,0.38957296160825206,0.0,42494098.54140695,0.0,0.0,27578229.96765524,0.0,334500000.0,142443.89656903915
13,3,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,4,0,0,3,0,0,0,0,5,1,1,1,4,5,0,49730811.77693913,47847947.0,0.003445032515203831,154758867.07984918,47842699.56310011,0.014556426107245312,2294051495.58662,28798397.130608946,0.38957296160825206,0.0,19617742.85964441,0.0,0.0,75329742.05586098,0.0,297900000.0,114084.54664545908
14,3,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,3,0,0,1,6,1,3,3,4,0,7,2,3476837520.7417965,32694901.094161935,0.24165361634445914,46722515.14600746,47842699.56310011,0.004359531041755687,2294051495.58662,78452891.91196637,0.38957296160825206,0.0,29664045.303329118,0.0,0.0,79084435.94406682,0.0,334500000.0,142443.89656903915
15,3,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,3,3,0,3,0,0,0,3,0,0,6,1,0,0,4,340376.0540782527,89068254.21950817,1.930399917585035e-05,155094642.21993798,47842699.56310011,0.014622926749579289,2294051495.58662,24198032.45136138,0.38957296160825206,0.0,20319063.206658736,0.0,0.0,33377116.55719709,0.0,382500000.0,113627.35789657573
16,3,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,3,3,0,3,0,0,0,3,1,1,7,0,0,7,0,0.0,89068254.21950817,0.0,126262616.3905249,47842699.56310011,0.011937550104552571,2294051495.58662,46650169.32145682,0.38957296160825206,0.0,21069784.935395602,0.0,0.0,44193513.54513965,0.0,854700000.0,112188.42532956642
17,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,3,2,4,3,0,0,1,3,7,0,2,5,3,0,0,115925830.41832405,140098914.0797181,0.008266768320079653,124185052.22645682,47842699.56310011,0.014609136639310388,2294051495.58662,84468530.12690154,0.48696620201031515,0.0,19170235.12681486,0.0,0.0,30351526.042379983,0.0,419100000.0,91069.29686093761
18,2,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,3,1,3,0,0,0,0,6,2,2,6,5,7,3,263625339.61903286,113829615.07026595,0.018688973848793092,99908304.64050391,47842699.56310011,0.012165758075164812,2294051495.58662,31398797.71871161,0.48696620201031515,0.0,29570831.9910252,0.0,0.0,134379082.50360245,0.0,758100000.0,91314.58984138336
19,3,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,3,6,5,3,0,0,0,2,0,3,1,5,0,2,4,115925830.41832405,182478543.38301352,0.006613414656063722,124185052.22645682,47842699.56310011,0.011687309311448308,2294051495.58662,22167818.198803753,0.38957296160825206,0.0,28105580.528124608,0.0,0.0,63275368.490582086,0.0,419100000.0,113140.20880605896
20,3,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,3,1,0,3,0,0,2,2,0,3,1,3,0,4,0,238121890.66642728,78453877.84187987,0.014231370979291722,124168923.29357544,47842699.56310011,0.012088200089658723,2294051495.58662,45876507.22344398,0.38957296160825206,0.0,25113995.726980142,0.0,0.0,33377116.55719709,0.0,431100000.0,114489.90699024283
21,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,3,0,0,7,4,0,2,3,1,2,0,4,3040794578.3780823,66507014.9338145,0.6109230026299697,46920143.4165763,47842699.56310011,0.013165974242097351,2294051495.58662,67626108.28683192,1.168718884824756,0.0,23850184.958490238,0.0,0.0,63275368.490582086,0.0,540300000.0,68009.32235268578
22,3,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,4,3,1,3,0,0,1,1,0,0,2,2,3,5,6,19563459.60748268,137587437.176622,0.0011483441717346104,126130526.78338581,47842699.56310011,0.011915383223774579,2294051495.58662,41292219.28177295,0.38957296160825206,0.0,15173808.632728375,0.0,0.0,123611770.3216231,0.0,419100000.0,112341.83464813478
23,3,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,3,0,0,3,0,0,4,5,8,0,0,0,865244.5844633989,42291505.65437629,5.791199752755105e-05,224081635.3421799,47842699.56310011,0.021155102436104998,2294392973.690529,24198032.45136138,0.3896650707289713,0.0,44153226.07626312,0.0,0.0,0.0,0.0,351800000.0,117042.42149433057
24,2,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,2,3,0,0,1,3,7,7,4,0,2,4,1,201508531.27616948,71223146.50296113,0.016135559940739116,80918144.76358701,47842699.56310011,0.009703445924930502,2294051495.58662,84468530.12690154,0.48696620201031515,0.0,26527642.362493023,0.0,0.0,93904858.83178098,0.0,624900000.0,90223.65535613066
25,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,7,0,0,3,0,0,1,0,2,3,3,2,3,2,8,0.0,68139002.95605196,0.0,126262616.3905249,47842699.56310011,0.03581265031365772,2294051495.58662,43224599.14167526,1.168718884824756,0.0,26773108.14923481,0.0,0.0,118184063.48171514,0.0,419100000.0,54394.38803857767
