,epsilon_progress,nfe
0,0,0
1,54,100
2,251,1195
3,380,2293
4,489,3383
5,594,4481
6,664,5574
7,697,6670
8,724,7766
9,745,8858
10,769,9955
11,967,11321
12,1051,12689
13,1096,14055
14,1123,15423
15,1144,16791
16,1170,18159
17,1193,19525
18,1210,20893
19,1219,22260
20,1235,23627
21,1246,24995
22,1260,26362
23,1274,27730
24,1280,29096
25,1287,30464
26,1296,31831
27,1303,33198
28,1313,34566
29,1322,35933
30,1326,37300
31,1328,38667
32,1337,40035
33,1342,41403
34,1345,42770
35,1351,44136
36,1355,45504
37,1362,46872
38,1371,48239
39,1383,49602
40,1391,50969
41,1397,52337
42,1405,53702
43,1409,55068
44,1411,56434
45,1414,57801
46,1417,59169
47,1422,60535
48,1424,61901
49,1430,63269
50,1434,64636
51,1435,66004
52,1440,67371
53,1442,68737
54,1445,70103
55,1449,71470
56,1450,72838
57,1451,74205
58,1454,75573
59,1461,76940
60,1464,78308
61,1466,79670
62,1470,81036
63,1474,82404
64,1477,83770
65,1478,85138
66,1481,86506
67,1485,87872
68,1487,89231
69,1490,90599
70,1492,91966
71,1493,93334
72,1494,94702
73,1495,96070
74,1495,97436
75,1495,98804
76,1495,100172
77,1496,101539
78,1496,102907
79,1497,104275
80,1498,105642
81,1499,107010
82,1499,108378
83,1499,109746
84,1501,111114
85,1503,112480
86,1503,113848
87,1505,115216
88,1505,116584
89,1508,117950
90,1510,119318
91,1510,120686
92,1512,122054
93,1513,123421
94,1517,124788
95,1520,126155
96,1524,127521
97,1525,128889
98,1525,130257
99,1527,131625
100,1529,132992
101,1529,134360
102,1529,135726
103,1535,137094
104,1536,138461
105,1537,139829
106,1540,141197
107,1542,142565
108,1545,143933
109,1547,145301
110,1551,146668
111,1553,148033
112,1558,149400
113,1558,150768
114,1560,152135
115,1560,153503
116,1560,154870
117,1560,156238
118,1564,157605
119,1564,158973
120,1565,160341
121,1566,161709
122,1566,163076
123,1567,164444
124,1569,165812
125,1570,167179
126,1572,168547
127,1573,169915
128,1574,171283
129,1575,172649
130,1575,174017
131,1575,175385
132,1578,176751
133,1578,178119
134,1578,179487
135,1578,180853
136,1578,182221
137,1579,183589
138,1579,184956
139,1582,186324
140,1583,187692
141,1583,189060
142,1583,190428
143,1584,191795
144,1584,193163
145,1585,194531
146,1586,195899
147,1587,197267
148,1587,198635
149,1587,200003
150,1587,201371
151,1588,202739
152,1590,204107
153,1590,205474
154,1591,206840
155,1593,208208
156,1597,209576
157,1599,210942
158,1600,212308
159,1602,213676
160,1603,215043
161,1650,216121
162,1654,217200
163,1657,218279
164,1661,219357
165,1663,220437
166,1666,221516
167,1667,222594
168,1668,223673
169,1668,224750
170,1668,225828
171,1669,226908
172,1669,227986
173,1669,229064
174,1669,230144
175,1669,231224
176,1669,232304
177,1669,233383
178,1669,234463
179,1669,235542
180,1669,236622
181,1669,237700
182,1669,238779
183,1669,239856
184,1669,240935
185,1669,242015
186,1669,243095
187,1669,244174
188,1669,245254
189,1669,246334
190,1669,247414
191,1669,248492
192,1669,249572
193,1669,250112
