,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,95,312.93205877881906,1.0,0.20258646917631698,67.91158135365099,10.0,0.42888916683311573,283.97601935688044,1.5,0.8710021368731756,265.5279424161025,1.5,0.24335840120313587,246.54343648728542,10.0,0.6090402459775844,3.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Policy 0,dikesnet
1,57,208.6887858010252,10.0,0.20378338210789015,159.49988149607336,1.0,0.8920591544287846,56.379901766596845,1.0,0.2408813643686053,163.73811466550035,1.5,0.009862271707062026,115.83607745079942,1.5,0.6936532524863123,2.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Policy 0,dikesnet
2,58,310.07061383660675,10.0,0.945044943902882,105.89998289568271,10.0,0.46141887554506084,346.36302269719965,1.5,0.4370056079907502,190.46481031981818,1.5,0.38881479701970323,101.52867957536805,10.0,0.7078394944455925,2.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Policy 0,dikesnet
3,109,147.57842448605822,1.0,0.3535655184008684,330.04576671936246,1.0,0.17897358216911577,296.0364989851514,1.5,0.10161133317769565,312.2572660679416,1.5,0.184073107885091,234.11468011911577,1.5,0.1768461687307175,4.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Policy 0,dikesnet
4,128,272.87191652738204,1.5,0.4346378218667849,227.97152828642015,1.0,0.8259843353720312,222.5274026608535,10.0,0.3763722050984607,321.76759654435836,1.0,0.7679278900052318,168.36725548520414,10.0,0.9574028843128687,3.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Policy 0,dikesnet
5,52,55.24602096571171,1.0,0.8953029453663133,45.607600513138536,1.5,0.5538049829902307,176.46669424358979,1.5,0.33954651781747364,259.76791931106175,1.5,0.049692968856499,192.90417851354795,1.5,0.894372253797243,1.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Policy 0,dikesnet
6,15,272.11834294988955,1.0,0.04180162162949366,192.41817535794593,10.0,0.2577467534688623,273.7391987202012,1.0,0.4686703220752702,344.2230210305553,10.0,0.9376235187111712,126.56147079951015,10.0,0.5398645861867648,4.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Policy 0,dikesnet
7,23,332.29694037475764,10.0,0.8860108242873874,183.6137767651883,10.0,0.1263582866998371,341.13877580712784,10.0,0.1778598952331878,62.65777219529835,10.0,0.3065775547883079,296.496959193046,1.0,0.9370048345004403,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Policy 0,dikesnet
8,35,140.2451473884019,1.5,0.14610342689804948,148.15541075646826,1.0,0.8517723704334683,154.21621275588268,1.5,0.37832243658260023,256.14887513155844,10.0,0.24841583739925055,61.951138038552294,10.0,0.4935078439939261,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Policy 0,dikesnet
9,13,325.71435515145475,1.5,0.34051750059145663,293.7406308785475,10.0,0.5925985150384157,214.0419114929406,10.0,0.9074283526916771,156.0450075287165,1.5,0.40119206964355025,121.75258170658041,1.0,0.5751741129232665,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Policy 0,dikesnet
