experiment,A.1 Expected Annual Damage,A.1 Dike Investment Costs,A.1_Expected Number of Deaths,A.2 Expected Annual Damage,A.2 Dike Investment Costs,A.2_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,2240232297.300435,0,1.8958883357460286,0.0,0,0.0,0.0,0.0
1,2645031840.341651,0,1.8952146695885794,0.0,0,0.0,0.0,0.0
2,0.0,0,0.0,112213298.1644359,0,0.09326493136754299,0.0,0.0
3,1677681388.8199778,0,1.245963950033552,155474970.2602049,0,0.15202212753365574,0.0,0.0
4,737468225.263716,0,0.47414050759417536,0.0,0,0.0,0.0,0.0
5,0.0,0,0.0,46394529.022846624,0,0.043547091564866296,0.0,0.0
6,2766419105.0098553,0,1.9196781487059595,0.0,0,0.0,0.0,0.0
7,0.0,0,0.0,549820449.411907,0,0.5722535665778621,0.0,0.0
8,3449295904.8267655,0,1.9440479889759832,0.0,0,0.0,0.0,0.0
9,1533751781.0009158,0,1.499468006064882,0.0,0,0.0,0.0,0.0
10,14939221.91752072,0,0.01375023524342402,22898402.779601462,0,0.028186397657700764,0.0,0.0
11,219192914.50900513,0,0.14510469571581996,328449682.7015501,0,0.27786834954989903,0.0,0.0
12,0.0,0,0.0,292730470.15518224,0,0.27999340162389047,0.0,0.0
13,2198997546.221664,0,1.5422504830748685,21767205.625317905,0,0.021647445306404667,0.0,0.0
14,104603822.90637022,0,0.07034477070516247,20003821.745230597,0,0.018104682603070955,0.0,0.0
15,2910917788.7678256,0,1.8706585353239917,976907769.8495343,0,0.7982368725346466,0.0,0.0
16,2618543097.675905,0,1.9258812980786466,0.0,0,0.0,0.0,0.0
17,2240232297.300435,0,1.8958883357460286,0.0,0,0.0,0.0,0.0
18,2999497805.334521,0,1.9426872303297924,4900116.3680697875,0,0.004644689969603762,0.0,0.0
19,0.0,0,0.0,57020446.74824101,0,0.06082412917483007,0.0,0.0
20,477942333.706337,0,0.3673015267538789,11032195.909087434,0,0.011392807224298586,0.0,0.0
21,0.0,0,0.0,166868664.75397587,0,0.1622163947032017,0.0,0.0
22,3080403991.7095914,0,1.8922802036152344,0.0,0,0.0,0.0,0.0
23,708718912.7520785,0,0.47863364508444894,0.0,0,0.0,0.0,0.0
24,0.0,0,0.0,238882305.80497903,0,0.2162496188555494,0.0,0.0
25,0.0,0,0.0,49135056.38274836,0,0.044397787434331204,0.0,0.0
26,0.0,0,0.0,15245160.490104463,0,0.016027934559547905,0.0,0.0
27,2778567046.023631,0,1.9302896161182637,565315074.6188718,0,0.5031398507373801,0.0,0.0
28,0.0,0,0.0,5844405.146520142,0,0.0049859096079030805,0.0,0.0
29,0.0,0,0.0,81457000.09124312,0,0.07777913752315266,0.0,0.0
30,1064683231.3109293,0,0.7504853601213022,319653278.402912,0,0.2936532386525701,0.0,0.0
31,21677859.84845403,0,0.013543528972665864,27991867.787983485,0,0.023448865840046035,0.0,0.0
32,2857085400.1447105,0,1.5287927685574014,17987236.84469117,0,0.013206481788655734,0.0,0.0
33,0.0,0,0.0,613404538.0628364,0,0.47717423177394197,0.0,0.0
34,0.0,0,0.0,1111121257.7058134,0,0.8390152508219385,0.0,0.0
35,53637166.48299451,0,0.04013901123990977,224216982.0650437,0,0.21290502701930064,0.0,0.0
36,73660339.84550107,0,0.058939923281784753,4423902.363827845,0,0.004853485708133457,0.0,0.0
37,2263667921.0698404,0,1.9209105150553052,0.0,0,0.0,0.0,0.0
38,1176679127.0907853,0,0.7496498633497377,0.0,0,0.0,0.0,0.0
39,0.0,0,0.0,548033327.1756136,0,0.4760951761702767,0.0,0.0
40,2458264313.493105,0,1.9108279062823885,50957249.284119695,0,0.0550606240911188,0.0,0.0
41,15807130.799327351,0,0.013688374621900317,20278985.95226025,0,0.023569495598429364,0.0,0.0
42,0.0,0,0.0,49155960.49879111,0,0.06024717324378423,0.0,0.0
43,152858225.87792385,0,0.10660009591350976,147595878.35817784,0,0.13419020871017415,0.0,0.0
44,2928352789.7053266,0,1.934121756480562,0.0,0,0.0,0.0,0.0
45,2735041512.967724,0,1.8922802036152344,871580811.1765099,0,0.7475972861622586,0.0,0.0
46,18879123.03868661,0,0.013296952326880523,815888263.3649974,0,0.6806241095998387,0.0,0.0
47,2587863845.875096,0,1.8883360326310494,0.0,0,0.0,0.0,0.0
48,3142461314.3592973,0,1.940400782836922,29063890.337128103,0,0.02528093994018423,0.0,0.0
49,198023886.65464306,0,0.14815075883691403,76284505.84244464,0,0.07554461513056648,0.0,0.0
50,22593984.10951299,0,0.01328113017539706,19613390.80556401,0,0.015522637393703536,0.0,0.0
51,2992399088.6657066,0,1.9369136779356746,0.0,0,0.0,0.0,0.0
52,2267113419.6189404,0,1.9245906786933227,3363881.020676374,0,0.003892059539582191,0.0,0.0
53,3432359021.8428802,0,1.9320616374161106,0.0,0,0.0,0.0,0.0
54,0.0,0,0.0,164921779.2633668,0,0.13439524915471804,0.0,0.0
55,59394694.9601977,0,0.04166019419445349,102232938.41439906,0,0.09349689363248631,0.0,0.0
56,0.0,0,0.0,22816907.762275554,0,0.03026927776801384,0.0,0.0
57,3080403991.7095914,0,1.8922802036152344,0.0,0,0.0,0.0,0.0
58,0.0,0,0.0,49232266.26203306,0,0.0604320021558907,0.0,0.0
59,16928502.286448773,0,0.01387345383331478,32078678.37208755,0,0.0347762559161789,0.0,0.0
60,2782323035.4508653,0,1.9335708328351577,13501877.942459498,0,0.012863109340093189,0.0,0.0
61,74880574.55282298,0,0.05639968396393226,92160150.80595134,0,0.09071415448920736,0.0,0.0
62,2973580710.1170816,0,1.9216076264375355,0.0,0,0.0,0.0,0.0
63,20518830.695174072,0,0.014130960496803199,34216354.65048004,0,0.03141355170274354,0.0,0.0
64,72994803.53888872,0,0.03910967725468518,21226613.631853946,0,0.015512061231755902,0.0,0.0
65,3417586040.8736687,0,1.9216076264375355,0.0,0,0.0,0.0,0.0
66,59947868.06337146,0,0.04062705955051467,48956643.70691073,0,0.04408397667215547,0.0,0.0
67,2532221157.105426,0,1.492478195208988,38454202.40952892,0,0.03190732494404162,0.0,0.0
68,1394515903.2727118,0,0.8834086805722177,0.0,0,0.0,0.0,0.0
69,0.0,0,0.0,196838227.83096457,0,0.136949736911035,0.0,0.0
70,518093321.1934072,0,0.37135358976102006,69030968.92679487,0,0.06516377770443198,0.0,0.0
71,18009726.897851422,0,0.013944391079398035,60675237.70865032,0,0.06137893712892317,0.0,0.0
72,0.0,0,0.0,97763568.06113566,0,0.09212640151086338,0.0,0.0
73,2590377308.3162975,0,1.8906515462051598,0.0,0,0.0,0.0,0.0
74,0.0,0,0.0,14311310.533414543,0,0.01574085290916113,0.0,0.0
75,0.0,0,0.0,972837169.0369282,0,0.8127195112114066,0.0,0.0
76,18590120.643182345,0,0.013637953904338054,644537701.2004045,0,0.5668341195109883,0.0,0.0
77,0.0,0,0.0,78464808.47915623,0,0.09319354180938735,0.0,0.0
78,2818667254.3720665,0,1.9214277577989096,0.0,0,0.0,0.0,0.0
79,51654224.88785064,0,0.04085144103303076,58466613.35171101,0,0.06109225023506129,0.0,0.0
80,2772042806.0656643,0,1.9245906786933227,0.0,0,0.0,0.0,0.0
81,42945244.04718384,0,0.03998602122354865,179335275.88839412,0,0.21154159771421865,0.0,0.0
82,209841986.48663008,0,0.14288149016485122,8140294.453863812,0,0.007464291197779316,0.0,0.0
83,0.0,0,0.0,49329010.86986224,0,0.04473893474991774,0.0,0.0
84,0.0,0,0.0,380948668.1291466,0,0.33794338399552404,0.0,0.0
85,0.0,0,0.0,14201851.9564626,0,0.015512061231755902,0.0,0.0
86,0.0,0,0.0,100119298.09302443,0,0.08469385255887706,0.0,0.0
87,0.0,0,0.0,27881973.098250918,0,0.03228202991993058,0.0,0.0
88,3016213315.1224527,0,1.8654062692551698,46950281.173510775,0,0.0390253352337854,0.0,0.0
89,3111493727.742012,0,1.9163826719504795,0.0,0,0.0,0.0,0.0
90,0.0,0,0.0,24219751.861201745,0,0.027956473488623432,0.0,0.0
91,2746778928.4626517,0,1.9025283533522885,0.0,0,0.0,0.0,0.0
92,3278381440.9737916,0,1.9256320120437302,0.0,0,0.0,0.0,0.0
93,3919629787.5200167,0,1.920211661347642,5670311.211444689,0,0.0037468425533178514,0.0,0.0
94,3080403991.709591,0,1.8922802036152344,29369911.971323982,0,0.025819202604641295,0.0,0.0
95,3100495929.9644547,0,1.9078562443917924,0.0,0,0.0,0.0,0.0
96,2600652241.055086,0,1.9093316470279054,11958914.798092896,0,0.01176226907858629,0.0,0.0
97,61452481.69996949,0,0.039515304234117477,882050556.4700637,0,0.6792060550462651,0.0,0.0
