,epsilon_progress,nfe
0,0,0
1,54,100
2,205,1100
3,260,2196
4,283,3295
5,291,4295
6,307,5390
7,318,6486
8,332,7486
9,346,8584
10,369,9681
11,489,10808
12,569,12054
13,605,13301
14,614,14549
15,624,15797
16,633,17044
17,642,18292
18,650,19540
19,657,20787
20,663,22033
21,665,23281
22,670,24529
23,675,25777
24,678,27025
25,684,28273
26,686,29519
27,693,30765
28,693,32012
29,697,33259
30,700,34506
31,706,35753
32,711,37000
33,712,38247
34,713,39494
35,718,40739
36,718,41986
37,719,43234
38,723,44480
39,725,45725
40,728,46971
41,731,48218
42,733,49466
43,735,50714
44,772,51815
45,802,52899
46,804,53987
47,805,55072
48,805,56159
49,805,57245
50,805,58333
51,805,59421
52,805,60506
53,806,61594
54,806,62681
55,806,63769
56,806,64857
57,806,65944
58,806,67031
59,806,68115
60,806,69200
61,806,70287
62,806,71375
63,806,72462
64,806,73549
65,806,74636
66,806,75723
67,806,76811
68,806,77898
69,824,78909
70,835,80003
71,835,81099
72,835,82193
73,835,83289
74,835,84289
75,835,85384
76,835,86481
77,835,87579
78,835,88675
79,835,89770
80,835,90865
81,835,91961
82,835,93057
83,835,94154
84,835,95250
85,835,96344
86,835,97441
87,835,98535
88,835,99631
89,835,100030
