,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A1_Total_Costs,A1_Expected_Number_of_Deaths,A2_Total_Costs,A2_Expected_Number_of_Deaths,A3_Total_Costs,A3_Expected_Number_of_Deaths,A4_Total_Costs,A4_Expected_Number_of_Deaths,A5_Total_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
0,2,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,9,1,5,5,8,7,2,3,0,3,2,1,0,0,7,205029742.77600813,0.0,269029859.47076374,0.0,48047840.36663434,0.0,24040200.774297733,0.0,68353606.4230721,0.0024767747790827963,831600000.0,922.4777317898889
1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,5,4,5,8,7,2,4,1,10,7,4,5,10,1,2,183603921.04028857,0.0,248081445.76166874,0.0,101926291.47594255,0.0,42545877.69872474,0.0,133122169.46496555,0.0,764300000.0,0.0
2,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,2,3,0,8,9,6,2,1,0,3,2,0,5,9,8,82486364.32617709,0.0,315947968.23180705,0.0,43878096.290305056,0.0,16563094.679399516,0.0,177079838.35014418,0.0,946900000.0,0.0
3,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,3,1,1,4,9,4,1,0,3,2,8,6,1,7,113829615.07026595,0.0,202482438.2938397,0.0006775600882432678,49622725.1402255,0.0,35618922.051579095,0.0,126815106.79993652,0.0,818100000.0,51.10942723672055
4,4,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,2,2,4,2,1,0,0,3,0,6,1,1,6,37255203.23710208,0.0,154902110.94918096,0.00023144670219322217,20495502.696989324,3.1563883460576325e-05,22374727.640758883,0.0,117431203.30800003,0.0019392327743166947,1471100000.0,1418.363257309451
5,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,10,1,5,1,2,1,4,1,8,0,3,1,7,6,3,218965198.80224758,0.0,132850950.48431608,0.00208008581181129,93728561.50218844,0.0,18426235.73058271,0.0004015156493014962,142122692.52020282,0.0,793300000.0,235.11223244737036
6,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,2,7,6,3,0,6,8,5,7,7,5,10,2,10,9,192287243.85379863,0.0,120892243.43187523,0.0,127930973.9745432,0.0,58772765.57369622,0.0,176089912.83683324,0.0017072162554101107,438700000.0,153.7764389005687
7,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,4,0,9,5,9,0,1,10,10,9,4,6,8,1,47847947.961454235,0.0,314424250.2043843,0.0,93101852.40955546,0.03624751381359934,64131415.295668796,0.0,139637581.15022177,0.0,698400000.0,0.0
8,4,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,2,2,6,1,1,4,1,2,7,1,5,4,1,6,7,146551506.34123784,0.0,143679532.51082042,0.0007663196837526286,85988565.48435655,0.00079552746344861,29628501.698469043,0.0,122599016.390075,0.0,1037400000.0,607.173894075426
9,3,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,3,2,0,1,0,10,0,9,4,4,5,1,7,1,0,83497824.69174261,0.0,157217481.0517702,0.0013867238745408597,98465890.78113103,0.0035444444619806637,30908902.6371819,0.0,75869639.77914998,0.0,916200000.0,1395.0198027242398
10,4,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,7,2,6,3,3,1,1,6,9,6,8,3,2,1,151906735.46309224,0.0,189309949.4694295,0.0,93749385.41310838,0.0030763393103061133,61840409.117942214,0.0,90472013.62775448,0.0,788900000.0,726.7445319385654
11,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,4,2,1,7,3,0,2,3,2,1,7,8,8,3,0,130459909.52246656,0.0,133844205.0086204,0.0,74270964.09218411,0.0,42856087.25762603,0.00010142494625409558,88175439.14937997,0.0,1235400000.0,17.540212878943223
12,3,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,2,6,0,7,1,10,0,1,1,5,7,6,4,0,10,102192937.55533153,0.0,251920093.0678591,0.0,57784694.23408171,0.002651912660205573,46776372.569564626,0.0,99922467.84492022,0.0,735000000.0,551.9432079065066
13,3,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,2,3,10,7,7,10,4,6,10,3,9,10,8,0,1,194992308.38843474,0.0,325375121.84417033,0.0,124190706.22174068,0.0,59029092.69727686,0.0,81222228.2680157,0.0,656500000.0,0.0
14,2,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,3,3,10,3,5,0,6,3,8,0,0,9,7,3,7,205418622.6550897,0.0,113553565.23269883,0.0,111452140.77215134,0.0,24493021.85139297,0.0003729954857754484,144434812.27797168,0.0,607900000.0,263.47604219000726
15,2,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,7,7,1,0,0,4,6,9,10,4,4,6,4,6,1,206678445.68097684,0.0,76789375.545901,0.002511830682036763,154268650.1130024,0.0,37253086.20845067,0.0,114479718.26030803,0.0,575500000.0,767.4514884579821
16,3,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,3,7,2,1,10,2,5,9,10,10,8,4,6,6,1,169789678.17468345,0.0,211159345.66734192,0.0006933619372704299,147608409.73545504,0.0,60676971.6959537,0.0,127013663.91667858,0.0,613800000.0,325.7043901352351
17,3,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,7,8,5,4,10,2,7,1,10,1,7,10,4,68139002.95605196,0.0,241594745.19287825,0.0,126451514.35854661,0.0,37292066.05189468,3.649260023228602e-05,176886880.82907864,0.0,644500000.0,36.95447311441301
18,2,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,5,10,3,4,4,5,2,7,1,8,10,10,7,3,5,236484821.37102693,0.0,192124581.04450518,0.0,86235112.72888009,0.0,80101051.1366488,0.0,133916207.93441162,0.0,515700000.0,0.0
19,2,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,5,2,7,0,0,2,6,1,9,10,0,5,0,10,7,184249912.01345077,0.0,68835611.35995491,0.0027911681971053834,107609124.68259513,0.0,35873302.62049332,0.0,172431656.46349204,0.005367393429427665,1132100000.0,2854.9838872916603
