,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A1_Total_Costs,A1_Expected_Number_of_Deaths,A2_Total_Costs,A2_Expected_Number_of_Deaths,A3_Total_Costs,A3_Expected_Number_of_Deaths,A4_Total_Costs,A4_Expected_Number_of_Deaths,A5_Total_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
0,3,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,10,7,2,8,1,9,6,3,10,1,1,9,0,131052131.21815366,0.0,237464329.82003897,0.0,111113278.71606055,0.0007857977312459627,40782612.01786203,0.0,96685569.11559391,0.0013778389078070255,864000000.0,952.976922447101
1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,6,8,7,2,4,9,2,0,9,2,9,3,1,5,2,263124082.52035663,0.0,212618993.0498421,0.0006976961102469468,65599578.68584207,0.0,38970740.40633743,0.0,96705227.21019611,0.0,650400000.0,51.6672321220725
2,4,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,2,10,5,0,0,2,3,0,6,7,10,4,0,2,8,219748970.54271507,0.0,68565491.06876877,0.0021876037824618924,58926842.49039639,0.0,57215416.902472965,0.0,79410612.48799065,0.0,862300000.0,1225.7937545034526
3,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,4,8,5,4,3,10,7,3,0,3,5,6,32694901.094161935,0.0,235241289.47969905,0.0,110021459.14028308,0.0,24956580.074387155,0.0,123611770.3216231,0.0,1270300000.0,0.0
4,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,8,2,6,10,2,6,7,0,5,1,2,2,0,2,3,210007656.8411526,0.0,258286387.3644763,0.0,70656192.99188861,0.0,25379858.240681432,0.0004935488294847437,99396983.49074686,0.009680490153801126,400400000.0,986.9096282478324
5,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,2,9,7,0,3,0,6,4,0,1,8,3,1,4,165530253.91235572,0.0,133844205.0086204,0.0,107204155.86920519,0.021131970547605128,26994764.920846332,0.0005539391461785484,96222495.82521117,0.0,1032400000.0,802.9389134468922
6,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,9,0,0,3,7,9,6,7,8,7,2,4,6,10,5,85264360.79025151,0.0,254862976.06509814,0.0,130971825.23430848,0.0,36656511.13181695,0.0,174231107.0742268,0.0,1021800000.0,0.0
7,2,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,9,0,0,1,7,5,8,10,9,8,3,3,5,10,10,85264360.79025151,0.0,198735413.0320301,0.0007497923398121605,169486223.76044023,0.0,39402696.482637525,0.0,201797418.92739964,0.0,1093800000.0,226.6745360658366
8,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,9,3,8,3,8,3,6,9,0,4,9,0,4,3,142489096.8745909,0.0,261495548.80812895,0.0,113875045.71371174,0.0,33623777.199045405,0.0012433182859181609,89222803.14237629,0.014315568677113881,795000000.0,0.0
9,4,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,2,3,3,3,5,3,4,10,4,2,4,8,3,5,3,132514534.68415771,0.0,176186458.7796892,3.185107530575123e-06,119240897.8836577,0.0,37408163.691807985,0.0,117338460.36807573,0.0005613938665096692,748700000.0,366.7160021884917
