,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
0,3,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,9,1,8,0,0,1,0,7,8,6,10,2,5,9,2387801824.308619,129503908.60174897,0.13542117283594352,0.0,81277411.11097889,0.0,0.0,55690229.411618516,0.0,0.0,65204827.45311858,0.0,0.0,134002084.01971969,0.0,1592300000.0,21320.605566555627
1,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,8,3,1,8,4,8,0,9,10,10,6,6,8,2387801824.308619,76299088.11882158,0.16927646604492944,0.0,183113112.051309,0.0,0.0,69051880.14680123,0.0,0.0,84322880.59216172,0.0,0.0,162073890.12059945,0.0,1439500000.0,17161.47228368588
2,3,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,2,8,5,9,8,5,0,5,10,6,8,4,3,7,4,2387801824.308619,194383626.21147954,0.13542117283594352,0.0,305147729.6594586,0.0,0.0,81101963.466326,0.0,0.0,47811901.72244589,0.0,0.0,125937902.45636173,0.0,946900000.0,21320.605566555627
3,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,5,6,6,8,7,0,5,1,4,4,10,4,0,10,7,2387801824.308619,213664639.9705635,0.4062635185078306,0.0,177202865.01677424,0.0,0.0,85111968.19066577,0.0,0.0,48530288.78386812,0.0,0.0,120018335.92314449,0.0,1489800000.0,10337.263304996668
4,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,5,0,2,8,10,3,4,7,8,5,2,4,0,7,8,2387801824.308619,98043050.03325048,0.13542117283594352,0.0,299090316.1004832,0.0,0.0,119504974.87624457,0.0,0.0,32008148.391127184,0.0,0.0,105507936.44554606,0.0,1324200000.0,21320.605566555627
5,4,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,9,2,0,0,7,2,7,3,4,9,0,7,6,7,4,2387801824.308619,135674464.19102705,0.13542117283594352,0.0,127487673.07826531,0.0,0.0,101783266.82547024,0.0,0.0,37441554.88587584,0.0,0.0,145997501.00097725,0.0,948600000.0,24874.039827648234
6,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,9,4,4,9,8,8,3,1,1,10,9,5,4,8,0,2387801824.308619,224064025.90668523,1.1285097736328629,0.0,343861398.7583468,0.0,0.0,69869514.91937588,0.0,0.0,66732211.92516727,0.0,0.0,88812334.74421489,0.0,454300000.0,0.0
7,4,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,5,7,9,3,2,0,9,4,0,6,1,2,4,0,4,2387801824.308619,262183796.9423902,0.13542117283594352,0.0,95202239.80249318,0.0,0.0,76335526.52592039,0.0,0.0,29595330.837397985,0.0,0.0,71555540.28476302,0.0,916200000.0,24874.039827648234
8,2,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,9,9,9,1,2,2,4,4,10,1,0,3,4,0,6,2387801824.308619,356745092.59911287,0.16927646604492944,0.0,129886219.76334889,0.0,0.0,114455534.74719302,0.0,0.0,15063068.18035096,0.0,0.0,79444167.5169792,0.0,1043500000.0,17161.47228368588
9,4,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,5,0,3,6,5,7,4,4,6,2,10,0,10,4,6,2387801824.308619,104000676.5449382,0.13542117283594352,0.0,244823828.92606127,0.0,0.0,97686873.15404975,0.0,0.0,29133320.954562303,0.0,0.0,169345951.67604598,0.0,1057000000.0,24874.039827648234
