A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
0.0,123922014.83441225,0.0,56583723.13366408,258792450.72175193,0.007347092032285705,0.0,65599578.68584207,0.0,78559.12340491031,27401689.039144397,4.604163755316603e-06,0.0,128563448.37726545,0.0,1253300000.0,2475.491015994058
0.0,123922014.83441225,0.0,889336.8711816958,258792450.72175193,0.00019223184484313055,0.0,65599578.68584207,0.0,0.0,27401689.039144397,0.0,0.0,128563448.37726545,0.0,1253300000.0,57.57084873791419
0.0,123922014.83441225,0.0,8977796.600373868,258792450.72175193,0.0009552815590340807,3270785.5079967794,65599578.68584207,0.000652914546155344,0.0,27401689.039144397,0.0,0.0,128563448.37726545,0.0,1253300000.0,383.4533718831999
0.0,123922014.83441225,0.0,5489783.117926457,258792450.72175193,0.0009468426917538764,17247550.473969813,65599578.68584207,0.005012673940702432,0.0,27401689.039144397,0.0,0.0,128563448.37726545,0.0,1253300000.0,1038.171907720916
0.0,123922014.83441225,0.0,5561934.393829403,258792450.72175193,0.0009714834530960275,1306701316.807924,65599578.68584207,0.2992113222066676,0.0,27401689.039144397,0.0,0.0,128563448.37726545,0.0,1253300000.0,52289.80207470947
0.0,123922014.83441225,0.0,0.0,258792450.72175193,0.0,342052.0072184633,65599578.68584207,0.00011269447030301503,0.0,27401689.039144397,0.0,0.0,128563448.37726545,0.0,1253300000.0,14.895784846431017
0.0,123922014.83441225,0.0,0.0,258792450.72175193,0.0,0.0,65599578.68584207,0.0,36591132.473405935,27401689.039144397,0.002023416165169812,0.0,128563448.37726545,0.0,1253300000.0,1909.3923652086924
0.0,123922014.83441225,0.0,55797874.317815654,258792450.72175193,0.007195193131382215,2515952.9992709467,65599578.68584207,0.0006501360059542097,0.0,27401689.039144397,0.0,0.0,128563448.37726545,0.0,1253300000.0,2534.853986822609
0.0,123922014.83441225,0.0,0.0,258792450.72175193,0.0,1648802.3287167342,65599578.68584207,0.0006541285473314596,2973769.412835945,27401689.039144397,0.00030994238287482983,0.0,128563448.37726545,0.0,1253300000.0,353.91657669834683
0.0,308079310.60404944,0.0,3275309.143708368,196636645.2808164,0.00037251979851983226,0.0,147608409.73545504,0.0,3629776.8891669833,37185717.67172921,0.00021864647637683776,0.0,72580607.18485624,0.0,538900000.0,416.67023629209143
0.0,308079310.60404944,0.0,0.0,196636645.2808164,0.0,0.0,147608409.73545504,0.0,278600.0649116383,37185717.67172921,2.869327864236297e-05,2222180.8990337024,72580607.18485624,0.00036832521205374617,538900000.0,232.4233898608659
0.0,308079310.60404944,0.0,0.0,196636645.2808164,0.0,0.0,147608409.73545504,0.0,1274034.7940249,37185717.67172921,6.47800188860383e-05,27309147.93744931,72580607.18485624,0.0022492691966677076,538900000.0,1352.2537074283139
0.0,308079310.60404944,0.0,0.0,196636645.2808164,0.0,0.0,147608409.73545504,0.0,1536552.2088439967,37185717.67172921,0.00011920473774994499,10453328.934468118,72580607.18485624,0.0013902780338893917,538900000.0,937.4195290411099
0.0,308079310.60404944,0.0,0.0,196636645.2808164,0.0,100795833.25390752,147608409.73545504,0.024931792563889152,10198649.924655,37185717.67172921,0.0006690798078944533,0.0,72580607.18485624,0.0,538900000.0,6911.734433708014
0.0,308079310.60404944,0.0,0.0,196636645.2808164,0.0,0.0,147608409.73545504,0.0,1702799.7012353751,37185717.67172921,0.0001407671602632506,83004993.60803027,72580607.18485624,0.01086603607479763,538900000.0,6690.308559333909
0.0,308079310.60404944,0.0,0.0,196636645.2808164,0.0,0.0,147608409.73545504,0.0,51988186.783046246,37185717.67172921,0.00207114162256023,241388049.45691526,72580607.18485624,0.01932948953942964,538900000.0,16518.650428607696
0.0,308079310.60404944,0.0,3244502.352183538,196636645.2808164,0.0003658144575464805,0.0,147608409.73545504,0.0,4210960.026088895,37185717.67172921,0.00024388111357754748,0.0,72580607.18485624,0.0,538900000.0,463.1466186664339
